0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Vips,,159.471,140.391,109.875,110.14299999999999,109.162,109.559,109.405,109.49700000000001,109.929,110.48899999999999,110.41,110.516,114.34,148.31799999999998,120.648,147.993,140.40200000000002,108.278,109.495,107.376,108.462,109.216,108.336,108.491,108.896,108.536,108.829,108.47,129.60299999999998,119.62799999999999,109.10799999999999
Boschung,,158.588,142.871,110.521,110.26799999999999,110.21,110.383,110.274,110.93799999999999,110.308,110.984,110.123,110.61399999999999,110.51700000000001,115.421,153.844,148.53799999999998,139.314,107.14200000000001,108.12799999999999,108.191,109.054,110.15799999999999,110.072,108.54899999999999,109.552,109.836,110.191,109.86399999999999,136.266,115.113,109.206
Petecof,,160.273,138.711,114.051,112.515,111.381,111.273,111.086,111.54899999999999,112.45,112.53299999999999,112.183,112.76100000000001,113.11,112.228,,,,,,,,,,,,,,,,,
Shwartzman,,158.821,142.388,110.787,114.51799999999999,130.627,109.03,109.352,109.382,109.67,110.151,110.17,110.288,110.23899999999999,111.18,111.23899999999999,157.32299999999998,161.015,106.38,106.653,106.56,107.14299999999999,106.92299999999999,107.352,108.199,108.148,107.949,107.991,108.71799999999999,124.92299999999999,123.4,108.53200000000001
Zhou,,159.376,150.75799999999998,109.57799999999999,108.82700000000001,108.719,109.876,109.883,109.329,109.73899999999999,109.754,109.715,109.98299999999999,110.162,114.69,138.944,153.011,149.525,108.669,107.693,106.809,106.896,107.35600000000001,107.855,108.10700000000001,108.023,108.779,108.367,108.15799999999999,124.24700000000001,124.655,108.227
Piastri,,157.833,150.168,108.655,108.374,108.229,108.508,108.845,109.316,109.54,109.59200000000001,110.272,110.354,109.781,110.04299999999999,113.57,179.09900000000002,,107.71,108.34299999999999,107.69,107.524,108.49700000000001,107.975,107.905,108.308,108.255,109.44,108.584,,,
Pourchaire,,157.326,144.62,109.861,109.524,108.663,109.919,109.278,109.339,110.039,109.94,113.726,143.683,108.305,108.027,107.946,155.263,147.586,108.79,109.004,108.681,108.303,108.994,109.539,110.022,109.148,109.581,109.056,109.368,127.82600000000001,122.59100000000001,109.602
Lundgaard,,159.691,152.724,108.617,108.073,108.38600000000001,108.81299999999999,109.166,109.314,109.411,110.118,110.431,115.539,142.10399999999996,109.45700000000001,107.713,152.026,,111.00299999999999,110.637,108.373,108.213,108.752,109.559,108.713,109.189,109.788,108.647,108.859,127.48899999999999,122.476,109.363
Viscaal,,157.91299999999998,143.797,110.474,109.764,109.352,109.491,109.57600000000001,109.754,110.167,110.45200000000001,110.605,115.415,142.82399999999998,108.9,114.596,153.627,156.994,107.896,107.67,107.209,108.521,108.66799999999999,109.167,109.663,109.724,110.055,109.985,136.613,,113.38600000000001,110.426
Nissany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samaia,,159.798,139.828,111.13,110.774,109.942,110.558,111.523,110.459,110.988,110.961,115.01,141.099,108.59,109.124,118.723,149.94,136.972,108.04799999999999,108.698,109.281,109.779,110.88799999999999,110.167,110.557,110.09,111.04700000000001,110.955,,136.48,114.726,112.962
Nannini,,159.85399999999996,138.368,111.29,110.397,110.097,110.241,110.382,110.33,110.5,110.712,110.837,111.058,111.065,111.651,111.496,149.34199999999996,173.392,108.13600000000001,107.425,107.275,107.98299999999999,108.68799999999999,109.585,109.303,109.961,109.129,109.479,109.677,127.867,122.20100000000001,109.899
Sato,,158.995,141.606,111.774,109.831,109.692,109.9,110.273,111.042,110.311,110.868,110.375,110.609,110.535,115.512,154.437,151.222,136.091,107.337,107.946,107.713,107.817,108.925,108.68,108.639,109.772,109.689,108.76899999999999,108.795,129.418,119.65799999999999,109.478
Armstrong,,157.901,146.77,109.145,108.914,108.70299999999999,109.346,108.822,109.382,109.463,109.471,109.909,109.748,109.473,109.915,110.176,141.188,194.815,110.004,110.17399999999999,108.522,107.838,108.14399999999999,108.159,108.238,109.10799999999999,108.991,108.994,108.678,124.82,125.021,108.87799999999999
Beckmann,,157.44299999999996,145.782,110.904,110.54299999999999,109.706,110.943,110.33,110.79299999999999,110.39200000000001,115.037,141.45600000000002,108.46799999999999,108.934,108.514,113.227,151.32399999999998,141.762,108.875,109.397,108.34200000000001,109.506,108.419,109.184,109.425,110.153,109.225,109.948,109.84,128.618,121.416,109.41799999999999
