Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,4,Felipe Drugovich,Brazil,UNI-Virtuosi,16,1:45.340,,,184.955,,
2,5,Daniel Ticktum,Great Britain,Carlin,14,1:45.481,+ 0.141,+ 0.141,184.708,,
3,7,Liam Lawson,New Zealand,Hitech Grand Prix,15,1:45.628,+ 0.288,+ 0.147,184.451,,
4,17,Marcus Armstrong,New Zealand,DAMS,16,1:45.651,+ 0.311,+ 0.023,184.410,,
5,1,Robert Shwartzman,Russia,Prema Racing,13,1:45.666,+ 0.326,+ 0.015,184.384,,
6,12,Lirim Zendeli,Germany,MP Motorsport,16,1:45.734,+ 0.394,+ 0.068,184.266,,
7,8,Jüri Vips,Estonia,Hitech Grand Prix,14,1:45.762,+ 0.422,+ 0.028,184.217,,
8,6,Jehan Daruvala,India,Carlin,15,1:45.763,+ 0.423,+ 0.001,184.215,,
9,24,Bent Viscaal,Netherlands,Trident,15,1:45.838,+ 0.498,+ 0.075,184.085,,
10,2,Oscar Piastri,Australia,Prema Racing,14,1:46.077,+ 0.737,+ 0.239,183.670,,
11,10,Théo Pourchaire,France,ART Grand Prix,15,1:46.149,+ 0.809,+ 0.072,183.545,,
12,3,Guanyu Zhou,China,UNI-Virtuosi,14,1:46.195,+ 0.855,+ 0.046,183.466,,
13,9,Christian Lundgaard,Denmark,ART Grand Prix,16,1:46.207,+ 0.867,+ 0.012,183.445,,
14,16,Roy Nissany,Israel,DAMS,16,1:46.225,+ 0.885,+ 0.018,183.414,,
15,11,Richard Verschoor,Netherlands,MP Motorsport,16,1:46.237,+ 0.897,+ 0.012,183.393,,
16,14,David Beckmann,Germany,Charouz Racing System,14,1:46.387,+ 1.047,+ 0.150,183.135,,
17,15,Guilherme Samaia,Brazil,Charouz Racing System,15,1:46.585,+ 1.245,+ 0.198,182.794,,
18,20,Gianluca Petecof,Brazil,Campos Racing,18,1:46.597,+ 1.257,+ 0.012,182.774,,
19,25,Marino Sato,Japan,Trident,15,1:46.718,+ 1.378,+ 0.121,182.567,,
20,21,Ralph Boschung,Switzerland,Campos Racing,17,1:46.788,+ 1.448,+ 0.070,182.447,,
21,22,Matteo Nannini,Italy,HWA Racelab,19,1:47.400,+ 2.060,+ 0.612,181.407,,
22,23,Alessio Deledda,Italy,HWA Racelab,18,1:48.888,+ 3.548,+ 1.488,178.928,,
