Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,3,Guanyu Zhou,China,UNI-Virtuosi,32,1:02:27.858,,,166.115,1:46.809,21
2,5,Daniel Ticktum,Great Britain,Carlin,32,1:02:28.340,+ 0.482,+ 0.482,166.094,1:47.215,23
3,7,Liam Lawson,New Zealand,Hitech Grand Prix,32,1:02:30.808,+ 2.950,+ 2.468,165.984,1:47.618,21
4,11,Richard Verschoor,Netherlands,MP Motorsport,32,1:02:31.953,+ 4.095,+ 1.145,165.934,1:46.703,20
5,17,Marcus Armstrong,New Zealand,DAMS,32,1:02:37.650,+ 9.792,+ 5.697,165.682,1:47.838,22
6,6,Jehan Daruvala,India,Carlin,32,1:02:39.784,+ 11.926,+ 2.134,165.588,1:47.224,15
7,1,Robert Shwartzman,Russia,Prema Racing,32,1:02:40.017,+ 12.159,+ 0.233,165.578,1:46.380,19
8,10,Théo Pourchaire,France,ART Grand Prix,32,1:02:46.337,+ 18.479,+ 6.320,165.300,1:47.946,16
9,4,Felipe Drugovich,Brazil,UNI-Virtuosi,32,1:02:47.622,+ 19.764,+ 1.285,165.243,1:47.494,16
10,22,Matteo Nannini,Italy,HWA Racelab,32,1:02:47.710,+ 19.852,+ 0.088,165.240,1:47.275,21
11,14,David Beckmann,Germany,Charouz Racing System,32,1:02:48.763,+ 20.905,+ 1.053,165.193,1:48.342,21
12,9,Christian Lundgaard,Denmark,ART Grand Prix,32,1:02:49.114,+ 21.256,+ 0.351,165.178,1:47.713,16
13,8,Jüri Vips,Estonia,Hitech Grand Prix,32,1:02:55.243,+ 27.385,+ 6.129,164.910,1:47.376,21
14,25,Marino Sato,Japan,Trident,32,1:02:56.684,+ 28.826,+ 1.441,164.847,1:47.337,19
15,21,Ralph Boschung,Switzerland,Campos Racing,32,1:02:59.393,+ 31.535,+ 2.709,164.729,1:47.142,19
16,15,Guilherme Samaia,Brazil,Charouz Racing System,32,1:03:08.478,+ 40.620,+ 9.085,164.334,1:48.048,19
17,24,Bent Viscaal,Netherlands,Trident,32,1:03:16.310,+ 48.452,+ 7.832,163.995,1:47.209,21
18,12,Lirim Zendeli,Germany,MP Motorsport,32,1:03:29.810,+ 1:01.952,+ 13.500,163.414,1:48.024,19
19,2,Oscar Piastri,Australia,Prema Racing,29,56:32.626,3 Laps,3 Laps,166.280,1:47.524,22
DNF,20,Gianluca Petecof,Brazil,Campos Racing,15,29:55.051,,,162.314,1:51.086,8
DNF,16,Roy Nissany,Israel,DAMS,,,,,,,
DNF,23,Alessio Deledda,Italy,HWA Racelab,,,,,,,
