Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,7,Liam Lawson,New Zealand,Hitech Grand Prix,23,44:11.624,,,168.661,1:51.352,5
2,6,Jehan Daruvala,India,Carlin,23,44:12.549,+ 0.925,+ 0.925,168.603,1:51.486,5
3,14,David Beckmann,Germany,Charouz Racing System,23,44:26.006,+ 14.382,+ 13.457,167.752,1:51.415,5
4,1,Robert Shwartzman,Russia,Prema Racing,23,44:28.702,+ 17.078,+ 2.696,167.582,1:51.492,6
5,2,Oscar Piastri,Australia,Prema Racing,23,44:29.128,+ 17.504,+ 0.426,167.555,1:51.852,8
6,9,Christian Lundgaard,Denmark,ART Grand Prix,23,44:30.176,+ 18.552,+ 1.048,167.490,1:51.752,6
7,3,Guanyu Zhou,China,UNI-Virtuosi,23,44:33.913,+ 22.289,+ 3.737,167.256,1:51.737,5
8,5,Daniel Ticktum,Great Britain,Carlin,23,44:36.484,+ 24.860,+ 2.571,167.095,1:51.222,5
9,12,Lirim Zendeli,Germany,MP Motorsport,23,44:38.915,+ 27.291,+ 2.431,166.943,1:50.886,5
10,8,Jüri Vips,Estonia,Hitech Grand Prix,23,44:39.557,+ 27.933,+ 0.642,166.903,1:52.254,6
11,15,Guilherme Samaia,Brazil,Charouz Racing System,23,44:43.532,+ 31.908,+ 3.975,166.656,1:51.912,8
12,16,Roy Nissany,Israel,DAMS,23,44:43.929,+ 32.305,+ 0.397,166.631,1:52.084,6
13,24,Bent Viscaal,Netherlands,Trident,23,44:45.318,+ 33.694,+ 1.389,166.545,1:52.094,8
14,22,Matteo Nannini,Italy,HWA Racelab,23,44:45.587,+ 33.963,+ 0.269,166.528,1:52.053,6
15,25,Marino Sato,Japan,Trident,23,44:58.509,+ 46.885,+ 12.922,165.731,1:52.693,9
16,4,Felipe Drugovich,Brazil,UNI-Virtuosi,23,45:14.874,+ 1:03.250,+ 16.365,164.732,1:51.374,19
17,20,Gianluca Petecof,Brazil,Campos Racing,23,45:18.565,+ 1:06.941,+ 3.691,164.508,1:53.308,9
18,23,Alessio Deledda,Italy,HWA Racelab,23,45:20.534,+ 1:08.910,+ 1.969,164.389,1:52.883,5
DNF,10,Théo Pourchaire,France,ART Grand Prix,12,23:19.971,,,166.369,1:51.318,5
DNF,17,Marcus Armstrong,New Zealand,DAMS,2,3:57.808,,,160.132,1:55.819,2
DNF,21,Ralph Boschung,Switzerland,Campos Racing,2,3:58.300,,,159.801,1:55.224,2
DNF,11,Richard Verschoor,Netherlands,MP Motorsport,2,4:18.692,,,147.205,,
