POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,14,31:46.485,2:08.414
2,4,Patrik PASMA,Evans GP,14,31:49.782,3.297,2:08.777
3,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,14,31:50.354,3.869,2:08.663
4,11,Roman STANEK,Hitech Grand Prix,14,31:54.868,8.383,2:08.991
5,3,Pierre-Louis CHOVET,Pinnacle Motorsport,14,31:55.859,9.374,2:08.897
6,14,Roy NISSANY,Hitech Grand Prix,14,31:58.140,11.655,2:09.197
7,12,Ayumu IWASA,Hitech Grand Prix,14,31:58.780,12.295,2:09.195
8,28,Kush MAINI,Mumbai Falcons India Racing Ltd,14,31:59.653,13.168,2:09.066
9,74,Cem BOLUKBASI,BlackArts Racing,14,32:04.483,17.998,2:09.610
10,13,Reece USHIJIMA,Hitech Grand Prix,14,32:05.170,18.685,2:09.504
11,5,Alex CONNOR,Evans GP,14,32:05.869,19.384,2:09.429
12,16,David VIDALES,Abu Dhabi Racing by Prema,14,32:06.602,20.117,2:09.739
13,62,Lorenzo FLUXA,BlackArts Racing,14,32:08.313,21.828,2:09.539
14,8,Rafael VILLAGOMEZ,BlackArts Racing,14,32:09.118,22.633,2:09.784
15,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,14,32:18.856,32.371,2:10.642
16,51,Irina SIDORKOVA,Evans GP,14,32:28.254,41.769,2:10.402
17,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,14,32:30.801,44.316,2:09.767
18,77,Nicola MARINANGELI,Motorscape,14,32:41.818,55.333,2:09.676
DNF,25,Alexandre BARDINON,Pinnacle Motorsport,5,12:38.451,9 laps,2:11.727
DNF,7,Roberto FARIA,Motorscape,5,13:02.957,9 laps,2:10.410
DNF,10,Alessio DELEDDA,Pinnacle Motorsport,1,2:21.061,13 laps,2:17.765
