POS.,CAR,DRIVER,TEAM,LAPS,BEST,GAP,IN
1,19,Jehan DARUVALA,Mumbai Falcons India Racing ltd,7,1:53.222 ,3
2,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,7,1:53.281,0.059 ,3
3,3,Pierre-Louis CHOVET,Pinnacle Motorsport,7,1:53.293,0.012 ,3
4,6,Isack HADJAR,Evans GP,8,1:53.359,0.066 ,4
5,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,7,1:53.478,0.119 ,5
6,4,Patrik PASMA,Evans GP,7,1:53.552,0.074 ,3
7,12,Ayumu IWASA,Hitech Grand Prix,8,1:53.779,0.227 ,6
8,74,Cem BOLUKBASI,BlackArts Racing,7,1:53.942,0.163 ,3
9,11,Roman STANEK,Hitech Grand Prix,8,1:54.004,0.062 ,4
10,28,Kush MAINI,Mumbai Falcons India Racing ltd,7,1:54.025,0.021 ,3
11,7,Roberto FARIA,Motorscape,7,1:54.189,0.164 ,3
12,8,Rafael VILLAGOMEZ,BlackArts Racing,7,1:54.345,0.156 ,3
13,14,Roy NISSANY,Hitech Grand Prix,8,1:54.432,0.087 ,5
14,62,Lorenzo FLUXA,BlackArts Racing,7,1:54.513,0.081 ,4
15,13,Reece USHIJIMA,Hitech Grand Prix,8,1:54.523,0.010 ,4
16,25,Alexandre BARDINON,Pinnacle Motorsport,7,1:54.573,0.050 ,3
17,77,Nicola MARINANGELI,Motorscape,7,1:55.227,0.654 ,7
18,40,Matthias LUETHEN,Pinnacle Motorsport,8,1:55.350,0.123 ,3
19,10,Alessio DELEDDA,Pinnacle Motorsport,7,1:55.377,0.027 ,5
20,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,8,1:55.428,0.051 ,3
