POS.,CAR,DRIVER,TEAM,LAPS,BEST,GAP,IN
1,3,Pierre-Louis CHOVET,Pinnacle Motorsport,7,1:52.371 ,3
2,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,7,1:52.583,0.212,6
3,19,Jehan DARUVALA,Mumbai Falcons India Racing ltd,7,1:52.849,0.266,3
4,4,Patrik PASMA,Evans GP,8,1:52.961,0.112,4
5,6,Isack HADJAR,Evans GP,8,1:53.017,0.056,4
6,11,Roman STANEK,Hitech Grand Prix,8,1:53.142,0.125,5
7,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,7,1:53.174,0.032,6
8,28,Kush MAINI,Mumbai Falcons India Racing ltd,7,1:53.417,0.243,4
9,12,Ayumu IWASA,Hitech Grand Prix,7,1:53.567,0.150,6
10,13,Reece USHIJIMA,Hitech Grand Prix,7,1:53.576,0.009,3
11,74,Cem BOLUKBASI,BlackArts Racing,7,1:53.583,0.007,3
12,7,Roberto FARIA,Motorscape,7,1:53.633,0.050,3
13,14,Roy NISSANY,Hitech Grand Prix,7,1:53.708,0.075,4
14,5,Casper STEVENSON,Evans GP,7,1:53.871,0.163,4
15,62,Lorenzo FLUXA,BlackArts Racing,7,1:53.938,0.067,6
16,25,Alexandre BARDINON,Pinnacle Motorsport,7,1:54.154,0.216,4
17,8,Rafael VILLAGOMEZ,BlackArts Racing,7,1:54.254,0.100,4
18,77,Nicola MARINANGELI,Motorscape,7,1:54.597,0.343,5
19,10,Alessio DELEDDA,Pinnacle Motorsport,7,1:54.833,0.236,3
20,51,Irina SIDORKOVA,Evans GP,6,1:55.675,0.842,4
21,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,7,1:55.888,0.213,6
22,40,Matthias LUETHEN,Pinnacle Motorsport,8,1:56.000,0.112,7
