POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,4,Patrik PASMA,Evans GP,12,30:26.334,2:08.529
2,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,12,30:27.550,1.216,2:08.561
3,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,12,30:30.639,4.305,2:08.949
4,28,Kush MAINI,Mumbai Falcons India Racing Ltd,12,30:31.217,4.883,2:09.030
5,16,David VIDALES,Abu Dhabi Racing by Prema,12,30:32.406,6.072,2:09.178
6,74,Cem BOLUKBASI,BlackArts Racing,12,30:33.329,6.995,2:09.291
7,14,Roy NISSANY,Hitech Grand Prix,12,30:33.998,7.664,2:08.975
8,62,Lorenzo FLUXA,BlackArts Racing,12,30:40.416,14.082,2:10.177
9,13,Reece USHIJIMA,Hitech Grand Prix,12,30:39.821,13.487,2:09.933
10,12,Ayumu IWASA,Hitech Grand Prix,12,30:40.923,14.589,2:10.261
11,7,Roberto FARIA,Motorscape,12,30:41.586,15.252,2:08.858
12,51,Irina SIDORKOVA,Evans GP,12,30:43.599,17.265,2:09.112
13,10,Alessio DELEDDA,Pinnacle Motorsport,12,30:45.532,19.198,2:10.829
14,8,Rafael VILLAGOMEZ,BlackArts Racing,12,30:46.903,20.569,2:11.461
15,77,Nicola MARINANGELI,Motorscape,12,30:47.479,21.145,2:10.993
16,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,12,30:49.685,23.351,2:08.288
17,25,Alexandre BARDINON,Pinnacle Motorsport,11,28:35.725,1 laps,2:11.257
18,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,11,28:53.424,1 laps,2:11.566
DNF,5,Alex CONNOR,Evans GP,6,18:05.984,6 laps ,2:12.350
DNF,11,Roman STANEK,Hitech Grand Prix
DNF,3,Pierre-Louis CHOVET,Pinnacle Motorsport
