POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,3,Pierre-Louis CHOVET,Pinnacle Motorsport,19,30:54.th,1:36.521
2,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,19,30:56.th,1.832,1:36.732
3,14,Roy NISSANY,Hitech Grand Prix,19,31:00.th,3.591,1:36.636
4,6,Isack HADJAR,Evans GP,19,31:02.th,2.423,1:36.949
5,12,Ayumu IWASA,Hitech Grand Prix,19,31:04.th,2.099,1:36.989
6,13,Reece USHIJIMA,Hitech Grand Prix,19,31:08.th,4.16,1:37.113
7,19,Jehan DARUVALA,Mumbai Falcons,19,31:10.th,1.821,1:36.237
8,74,Cem BOLUKBASI,BlackArts Racing,19,31:16.th,6.182,1:37.624
9,66,Zdenek CHOVANEC,BlackArts Racing,19,31:20.th,3.757,1:37.709
10,62,Lorenzo FLUXA,BlackArts Racing,19,31:23.th,2.797,1:37.563
11,4,Patrik PASMA,Evans GP,19,31:23.th,0.67,1:37.734
12,8,Rafael VILLAGOMEZ,BlackArts Racing,19,31:25.th,1.543,1:37.686
13,10,Alessio DELEDDA,Pinnacle Motorsport,19,31:25.th,0.315,1:37.695
14,77,Nicola MARINANGELI,Motorscape,19,31:28.th,2.772,1:37.770
15,51,Irina SIDORKOVA,Evans GP,19,31:36.th,7.787,1:38.218
16,5,Casper STEVENSON,Evans GP,19,31:50.th,13.744,1:37.816
17,40,Matthias LUETHEN,Pinnacle Motorsport,19,31:55.th,5.592,1:38.240
18,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,19,32:32.th,37.016,1:38.975
19,7,Roberto FARIA,Motorscape,18,31:30.th,1 Lap,1:37.424
20,28,Kush MAINI,Mumbai Falcons,18,31:41.th,10.876,1:36.953
DNF,25,Alexandre BARDINON,Pinnacle Motorsport,15,26:59.th,1:38.161
DNF,11,Roman STANEK,Hitech Grand Prix,10,16:26.th,1:36.931
DNF,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,1,01:53.th
