POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,3,Pierre-Louis CHOVET,Pinnacle Motorsport,15,32:19.259,1:57.682
2,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,15,32:19.920,0.661,1:57.623
3,12,Ayumu IWASA,Hitech Grand Prix,15,32:21.021,1.762,1:57.901
4,4,Patrik PASMA,Evans GP,15,32:20.276,1.017,1:57.566
5,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,15,32:23.050,3.791,1:57.775
6,11,Roman STANEK,Hitech Grand Prix,15,32:23.357,4.098,1:57.828
7,74,Cem BOLUKBASI,BlackArts Racing,15,32:24.463,5.204,1:58.202
8,14,Roy NISSANY,Hitech Grand Prix,15,32:25.314,6.055,1:58.017
9,16,David VIDALES,Abu Dhabi Racing by Prema,15,32:27.037,7.778,1:58.200
10,13,Reece USHIJIMA,Hitech Grand Prix,15,32:27.629,8.37,1:58.442
11,5,Alex CONNOR,Evans GP,15,32:27.883,8.624,1:58.552
12,8,Rafael VILLAGOMEZ,BlackArts Racing,15,32:29.065,9.806,1:58.621
13,62,Lorenzo FLUXA,BlackArts Racing,15,32:29.647,10.388,1:58.610
14,77,Nicola MARINANGELI,Motorscape,15,32:29.996,10.737,1:58.768
15,51,Irina SIDORKOVA,Evans GP,15,32:30.865,11.606,1:59.490
16,7,Roberto FARIA,Motorscape,15,32:31.315,12.056,1:58.093
17,10,Alessio DELEDDA,Pinnacle Motorsport,15,32:31.501,12.242,1:59.170
18,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,15,32:32.956,13.697,1:59.358
19,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,15,32:33.307,14.048,1:59.741
20,25,Alexandre BARDINON,Pinnacle Motorsport,12,24:01.363,3 laps,1:58.940
DNF,28,Kush MAINI,Mumbai Falcons India Racing Ltd,8,32:50.309,7 laps,1:57.460
