POS.,CAR,DRIVER,TEAM,LAPS,BEST,GAP,IN
1,3,Pierre-Louis CHOVET,Pinnacle Motorsport,8,1:34.505,7
2,14,Roy NISSANY,Hitech Grand Prix,8,1:34.555,0.05,4
3,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,7,1:34.636,0.081,3
4,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,7,1:34.639,0.003,7
5,19,Jehan DARUVALA,Mumbai Falcons,7,1:34.655,0.016,3
6,11,Roman STANEK,Hitech Grand Prix,8,1:34.686,0.031,3
7,7,Roberto FARIA,Motorscape,7,1:34.763,0.077,3
8,28,Kush MAINI,Mumbai Falcons,7,1:34.918,0.155,3
9,6,Isack HADJAR,Evans GP,7,1:35.108,0.19,7
10,12,Ayumu IWASA,Hitech Grand Prix,7,1:35.118,0.01,6
11,4,Patrik PASMA,Evans GP,6,1:35.120,0.002,3
12,74,Cem BOLUKBASI,BlackArts Racing,7,1:35.318,0.198,6
13,8,Rafael VILLAGOMEZ,BlackArts Racing,7,1:35.321,0.003,3
14,13,Reece USHIJIMA,Hitech Grand Prix,7,1:35.385,0.064,3
15,62,Lorenzo FLUXA,BlackArts Racing,7,1:35.622,0.237,6
16,77,Nicola MARINANGELI,Motorscape,8,1:35.694,0.072,4
17,10,Alessio DELEDDA,Pinnacle Motorsport,8,1:35.897,0.203,4
18,5,Casper STEVENSON,Evans GP,8,1:36.010,0.113,8
19,66,Zdenek CHOVANEC,BlackArts Racing,7,1:36.475,0.465,4
20,25,Alexandre BARDINON,Pinnacle Motorsport,7,1:36.558,0.083,7
21,51,Irina SIDORKOVA,Evans GP,7,1:36.668,0.11,3
22,40,Matthias LUETHEN,Pinnacle Motorsport,4,1:39.186,2.518,3
23,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema
