POS.,CAR,DRIVER,TEAM,LAPS,BEST,GAP,IN
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,6,1:54.844 ,3
2,12,Ayumu IWASA,Hitech Grand Prix,6,1:55.351,0.507,2
3,3,Pierre-Louis CHOVET,Pinnacle Motorsport,7,1:55.471,0.120,2
4,4,Patrik PASMA,Evans GP,6,1:55.603,0.132,2
5,7,Roberto FARIA,Motorscape,5,1:55.637,0.034,4
6,16,David VIDALES,Abu Dhabi Racing by Prema,6,1:55.747,0.110,3
7,74,Cem BOLUKBASI,BlackArts Racing,5,1:55.761,0.014,2
8,28,Kush MAINI,Mumbai Falcons India Racing ltd,5,1:55.822,0.061,2
9,19,Jehan DARUVALA,Mumbai Falcons India Racing ltd,6,1:55.894,0.072,3
10,14,Roy NISSANY,Hitech Grand Prix,7,1:55.982,0.088,2
11,13,Reece USHIJIMA,Hitech Grand Prix,7,1:55.990,0.008,5
12,11,Roman STANEK,Hitech Grand Prix,7,1:55.997,0.007,4
13,8,Rafael VILLAGOMEZ,BlackArts Racing,6,1:56.183,0.186,2
14,25,Alexandre BARDINON,Pinnacle Motorsport,7,1:56.287,0.104,3
15,5,Alex CONNOR,Evans GP,6,1:56.476,0.189,3
16,62,Lorenzo FLUXA,BlackArts Racing,7,1:56.747,0.271,6
17,10,Alessio DELEDDA,Pinnacle Motorsport,8,1:57.086,0.339,5
18,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,6,1:57.520,0.434,2
19,51,Irina SIDORKOVA,Evans GP,6,1:57.887,0.367,2
20,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,6,1:58.576,0.689,4
21,77,Nicola MARINANGELI,Motorscape,7,1:59.938,1.362,3
