POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,3,Pierre-Louis CHOVET,Pinnacle Motorsport,15,30:15.814,1:54.325
2,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,15,30:19.675,3.861,1:54.600
3,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,15,30:21.454,5.64,1:54.441
4,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,15,30:24.820,9.006,1:54.559
5,14,Roy NISSANY,Hitech Grand Prix,15,30:31.721,15.907,1:55.407
6,12,Ayumu IWASA,Hitech Grand Prix,15,30:33.633,17.819,1:55.621
7,74,Cem BOLUKBASI,BlackArts Racing,15,30:36.501,20.687,1:55.316
8,28,Kush MAINI,Mumbai Falcons India Racing Ltd,15,30:38.796,22.982,1:55.573
9,11,Roman STANEK,Hitech Grand Prix,15,30:41.136,25.322,1:55.476
10,6,Isack HADJAR,Evans GP,15,30:44.479,28.665,1:54.493
11,7,Roberto FARIA,Motorscape,15,30:44.933,29.119,1:55.731
12,13,Reece USHIJIMA,Hitech Grand Prix,15,30:47.260,31.446,1:56.096
13,77,Nicola MARINANGELI,Motorscape,15,30:48.303,32.489,1:56.287
14,25,Alexandre BARDINON,Pinnacle Motorsport,15,30:50.171,34.357,1:56.254
15,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,15,30:53.497,37.683,1:56.445
16,10,Alessio DELEDDA,Pinnacle Motorsport,15,30:54.338,38.524,1:56.502
17,40,Matthias LUETHEN,Pinnacle Motorsport,15,30:55.494,39.68,1:56.636
DNF,62,Lorenzo FLUXA,BlackArts Racing,7,22:03.705,8 laps,1:54.549
DNF,4,Patrik PASMA,Evans GP,12,7:21.696,3 laps ,1:59.664
DNF,8,Rafael VILLAGOMEZ,BlackArts Racing
