POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,16,28:15.686,1:35.405
2,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,16,28:17.794,2.108,1:35.551
3,6,Isack HADJAR,Evans GP,16,28:18.381,0.587,1:35.507
4,3,Pierre-Louis CHOVET,Pinnacle Motorsport,16,28:20.565,2.184,1:35.562
5,12,Ayumu IWASA,Hitech Grand Prix,16,28:26.027,5.462,1:36.191
6,10,Alessio DELEDDA,Pinnacle Motorsport,16,28:30.052,4.025,1:36.078
7,19,Jehan DARUVALA,Mumbai Falcons,16,28:31.471,1.419,1:36.029
8,14,Roy NISSANY,Hitech Grand Prix,16,28:32.344,0.873,1:36.529
9,74,Cem BOLUKBASI,BlackArts Racing,16,28:33.266,0.922,1:36.632
10,4,Patrik PASMA,Evans GP,16,28:33.833,0.567,1:36.731
11,13,Reece USHIJIMA,Hitech Grand Prix,16,28:34.670,0.837,1:36.660
12,11,Roman STANEK,Hitech Grand Prix,16,28:35.550,0.880,1:36.623
13,77,Nicola MARINANGELI,Motorscape,16,28:36.787,1.237,1:36.921
14,62,Lorenzo FLUXA,BlackArts Racing,16,28:37.762,0.975,1:36.819
15,7,Roberto FARIA,Motorscape,16,28:39.056,1.294,1:36.766
16,5,Casper STEVENSON,Evans GP,16,28:39.309,0.253,1:36.870
17,25,Alexandre BARDINON,Pinnacle Motorsport,16,28:43.638,4.329,1:37.304
18,66,Zdenek CHOVANEC,BlackArts Racing,16,28:46.727,3.089,1:36.664
19,51,Irina SIDORKOVA,Evans GP,16,28:47.471,0.744,1:37.564
20,40,Matthias LUETHEN,Pinnacle Motorsport,16,28:48.357,0.886,1:37.404
DNF,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,2,6:03.240,1:43.981
DNF,8,Rafael VILLAGOMEZ,BlackArts Racing,1,1:50.211,1:42.550
DNS,28,Kush MAINI,Mumbai Falcons
