POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,3,Pierre-Louis CHOVET,Pinnacle Motorsport,14,40:48.966,1:57.177
2,16,David VIDALES,Abu Dhabi Racing by Prema,14,40:51.420,2.454,1:57.292
3,4,Patrik PASMA,Evans GP,14,40:54.424,5.458,1:57.720
4,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,14,40:57.864,8.898,1:57.309
5,28,Kush MAINI,Mumbai Falcons India Racing Ltd,14,41:02.139,13.173,1:58.332
6,13,Reece USHIJIMA,Hitech Grand Prix,14,41:02.596,13.63,1:58.047
7,14,Roy NISSANY,Hitech Grand Prix,14,41:06.081,17.115,1:58.758
8,8,Rafael VILLAGOMEZ,BlackArts Racing,14,41:06.467,17.501,1:58.919
9,7,Roberto FARIA,Motorscape,14,41:06.641,17.675,1:58.269
10,12,Ayumu IWASA,Hitech Grand Prix,14,41:08.083,19.117,1:58.555
11,11,Roman STANEK,Hitech Grand Prix,14,41:08.818,19.852,1:59.052
12,74,Cem BOLUKBASI,BlackArts Racing,14,41:08.800,19.834,1:58.773
13,5,Alex CONNOR,Evans GP,14,41:09.597,20.631,1:58.989
14,62,Lorenzo FLUXA,BlackArts Racing,14,41:11.288,22.322,1:58.676
15,77,Nicola MARINANGELI,Motorscape,14,41:12.399,23.433,1:59.333
16,10,Alessio DELEDDA,Pinnacle Motorsport,14,41:12.778,23.812,1:59.021
17,51,Irina SIDORKOVA,Evans GP,14,41:17.262,28.296,2:00.332
18,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,14,41:17.723,28.757,1:59.998
DNF,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,4,10:34.038,10 laps,2:03.188
DNF,25,Alexandre BARDINON,Pinnacle Motorsport,4,10:35.291,10 laps,2:03.360
DNF,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,1,2:12.158,13 laps,2:05.226
