POS.,CAR,DRIVER,TEAM,LAPS,BEST,GAP,IN
1,19,Jehan DARUVALA,Mumbai Falcons India Racing ltd,7,1:53.399 ,3
2,3,Pierre-Louis CHOVET,Pinnacle Motorsport,7,1:53.589,0.190,6
3,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,7,1:53.788,0.199,4
4,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,7,1:54.131,0.343,7
5,14,Roy NISSANY,Hitech Grand Prix,8,1:54.200,0.069,4
6,4,Patrik PASMA,Evans GP,7,1:54.216,0.016,7
7,12,Ayumu IWASA,Hitech Grand Prix,8,1:54.250,0.034,5
8,11,Roman STANEK,Hitech Grand Prix,8,1:54.274,0.024,4
9,6,Isack HADJAR,Evans GP,8,1:54.336,0.062,8
10,74,Cem BOLUKBASI,BlackArts Racing,7,1:54.497,0.161,6
11,28,Kush MAINI,Mumbai Falcons India Racing ltd,7,1:54.581,0.084,3
12,7,Roberto FARIA,Motorscape,7,1:54.756,0.175,3
13,8,Rafael VILLAGOMEZ,BlackArts Racing,7,1:54.779,0.023,3
14,13,Reece USHIJIMA,Hitech Grand Prix,8,1:54.952,0.173,4
15,25,Alexandre BARDINON,Pinnacle Motorsport,7,1:55.243,0.291,3
16,77,Nicola MARINANGELI,Motorscape,7,1:55.548,0.305,4
17,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,7,1:55.560,0.012,4
18,10,Alessio DELEDDA,Pinnacle Motorsport,7,1:55.779,0.219,6
19,40,Matthias LUETHEN,Pinnacle Motorsport,8,1:56.233,0.454,6
