POS.,CAR,DRIVER,TEAM,LAPS,BEST,GAP,IN
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,7,2:07.173 ,5
2,4,Patrik PASMA,Evans GP,7,2:07.316,0.143,6
3,19,Jehan DARUVALA,Mumbai Falcons India Racing ltd,7,2:07.687,0.371,4
4,11,Roman STANEK,Hitech Grand Prix,7,2:07.808,0.120,6
5,28,Kush MAINI,Mumbai Falcons India Racing ltd,7,2:07.897,0.089,7
6,3,Pierre-Louis CHOVET,Pinnacle Motorsport,7,2:08.027,0.130,5
7,14,Roy NISSANY,Hitech Grand Prix,6,2:08.154,0.127,5
8,16,David VIDALES,Abu Dhabi Racing by Prema,7,2:08.250,0.096,7
9,12,Ayumu IWASA,Hitech Grand Prix,7,2:08.327,0.077,6
10,5,Alex CONNOR,Evans GP,7,2:08.423,0.096,6
11,74,Cem BOLUKBASI,BlackArts Racing,7,2:08.530,0.107,5
12,13,Reece USHIJIMA,Hitech Grand Prix,7,2:08.538,0.008,6
13,8,Rafael VILLAGOMEZ,BlackArts Racing,7,2:08.881,0.343,6
14,77,Nicola MARINANGELI,Motorscape,7,2:08.996,0.115,6
15,25,Alexandre BARDINON,Pinnacle Motorsport,7,2:09.166,0.170,3
16,62,Lorenzo FLUXA,BlackArts Racing,7,2:09.257,0.091,7
17,51,Irina SIDORKOVA,Evans GP,7,2:09.612,0.355,4
18,10,Alessio DELEDDA,Pinnacle Motorsport,7,2:09.776,0.164,3
19,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,7,2:09.847,0.071,5
20,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,7,2:11.259,1.412,3
21,7,Roberto FARIA,Motorscape,6,2:15.079,3.820,2
