POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,3,Pierre-Louis CHOVET,Pinnacle Motorsport,13,30:14.596,13 laps ,1:54.671
2,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,13,30:15.222,0.626,1:54.642
3,16,Dino BEGANOVIC,Abu Dhabi Racing by Prema,13,30:16.306,1.71,1:55.051
4,62,Lorenzo FLUXA,BlackArts Racing,13,30:17.184,2.588,1:55.067
5,74,Cem BOLUKBASI,BlackArts Racing,13,30:17.908,3.312,1:55.100
6,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,13,30:18.547,3.951,1:55.245
7,28,Kush MAINI,Mumbai Falcons India Racing Ltd,13,30:20.094,5.498,1:55.869
8,11,Roman STANEK,Hitech Grand Prix,13,30:20.840,6.244,1:55.855
9,7,Roberto FARIA,Motorscape,13,30:21.567,6.971,1:56.094
10,12,Ayumu IWASA,Hitech Grand Prix,13,30:22.741,8.145,1:55.329
11,13,Reece USHIJIMA,Hitech Grand Prix,13,30:28.069,13.473,1:56.593
12,8,Rafael VILLAGOMEZ,BlackArts Racing,13,30:29.505,14.909,1:57.443
13,10,Alessio DELEDDA,Pinnacle Motorsport,13,30:29.734,15.138,1:57.770
14,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,13,30:41.979,27.383,1:57.683
DNF,4,Patrik PASMA,Evans GP,12,28:48.793,12 laps ,1:56.277
DNF,14,Roy NISSANY,Hitech Grand Prix,6,13:40.375,6 laps ,1:56.293
DNF,77,Nicola MARINANGELI,Motorscape,6,13:41.292,0.917,1:56.575
DNF,40,Matthias LUETHEN,Pinnacle Motorsport,4,8:24.006, 4 laps ,1:57.680
DNF,25,Alexandre BARDINON,Pinnacle Motorsport,3,6:05.769,3 laps ,1:57.604
DNF,6,Isack HADJAR,Evans GP,1,2:30.534,1 laps 
