POS.,CAR,DRIVER,TEAM,LAPS,TIME,GAP,BEST
1,33,Guanyu ZHOU,Abu Dhabi Racing by Prema,15,32:03.610,2:07.632
2,4,Patrik PASMA,Evans GP,15,32:07.025,3.415,2:07.646
3,28,Kush MAINI,Mumbai Falcons India Racing Ltd,15,32:17.820,14.21,2:08.061
4,14,Roy NISSANY,Hitech Grand Prix,15,32:20.220,16.61,2:08.297
5,3,Pierre-Louis CHOVET,Pinnacle Motorsport,15,32:21.361,17.751,2:08.254
6,16,David VIDALES,Abu Dhabi Racing by Prema,15,32:24.235,20.625,2:08.041
7,19,Jehan DARUVALA,Mumbai Falcons India Racing Ltd,15,32:29.420,25.81,2:07.789
8,13,Reece USHIJIMA,Hitech Grand Prix,15,32:33.533,29.923,2:08.867
9,74,Cem BOLUKBASI,BlackArts Racing,15,32:33.626,30.016,2:08.605
10,12,Ayumu IWASA,Hitech Grand Prix,15,32:34.158,30.548,2:08.660
11,8,Rafael VILLAGOMEZ,BlackArts Racing,15,32:37.193,33.583,2:09.484
12,77,Nicola MARINANGELI,Motorscape,15,32:53.736,50.126,2:09.916
13,10,Alessio DELEDDA,Pinnacle Motorsport,15,32:54.738,51.128,2:09.823
14,51,Irina SIDORKOVA,Evans GP,15,32:56.104,52.494,2:10.670
15,99,Khaled AL QUBAISI,Abu Dhabi Racing by Prema,15,33:08.866,1:05.256,2:11.556
16,88,Amna AL QUBAISI,Abu Dhabi Racing by Prema,15,33:10.976,1:07.366,2:09.491
17,5,Alex CONNOR,Evans GP,13,28:46.442,2 laps,2:08.948
18,11,Roman STANEK,Hitech Grand Prix,12,25:54.662,3 laps,2:08.204
DNF,7,Roberto FARIA,Motorscape,10,30:05.229,5 laps,2:08.304
DNF,62,Lorenzo FLUXA,BlackArts Racing,9,21:13.840,6 laps ,2:08.615
DNF,25,Alexandre BARDINON,Pinnacle Motorsport,1,3:19.125,14 laps
