Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,3,Guanyu Zhou,China,UNI-Virtuosi,9,1:42.848,,,189.436,,
2,9,Christian Lundgaard,Denmark,ART Grand Prix,10,1:42.851,+ 0.003,+ 0.003,189.431,,
3,4,Felipe Drugovich,Brazil,UNI-Virtuosi,9,1:43.211,+ 0.363,+ 0.360,188.770,,
4,5,Daniel Ticktum,Great Britain,Carlin,10,1:43.338,+ 0.490,+ 0.127,188.538,,
5,11,Richard Verschoor,Netherlands,MP Motorsport,9,1:43.443,+ 0.595,+ 0.105,188.347,,
6,6,Jehan Daruvala,India,Carlin,9,1:43.475,+ 0.627,+ 0.032,188.288,,
7,2,Oscar Piastri,Australia,Prema Racing,10,1:43.478,+ 0.630,+ 0.003,188.283,,
8,7,Liam Lawson,New Zealand,Hitech Grand Prix,8,1:43.519,+ 0.671,+ 0.041,188.208,,
9,14,David Beckmann,Germany,Charouz Racing System,9,1:43.559,+ 0.711,+ 0.040,188.136,,
10,10,Théo Pourchaire,France,ART Grand Prix,10,1:43.585,+ 0.737,+ 0.026,188.089,,
11,1,Robert Shwartzman,Russia,Prema Racing,5,1:43.694,+ 0.846,+ 0.109,187.891,,
12,21,Ralph Boschung,Switzerland,Campos Racing,9,1:43.704,+ 0.856,+ 0.010,187.873,,
13,17,Marcus Armstrong,New Zealand,DAMS,9,1:43.729,+ 0.881,+ 0.025,187.827,,
14,16,Roy Nissany,Israel,DAMS,11,1:43.768,+ 0.920,+ 0.039,187.757,,
15,24,Bent Viscaal,Netherlands,Trident,10,1:43.839,+ 0.991,+ 0.071,187.628,,
16,12,Lirim Zendeli,Germany,MP Motorsport,9,1:43.955,+ 1.107,+ 0.116,187.419,,
17,15,Guilherme Samaia,Brazil,Charouz Racing System,9,1:44.227,+ 1.379,+ 0.272,186.930,,
18,25,Marino Sato,Japan,Trident,7,1:44.654,+ 1.806,+ 0.427,186.167,,
19,22,Matteo Nannini,Italy,HWA Racelab,9,1:44.825,+ 1.977,+ 0.171,185.864,,
20,20,Gianluca Petecof,Brazil,Campos Racing,9,1:45.053,+ 2.205,+ 0.228,185.460,,
21,23,Alessio Deledda,Italy,HWA Racelab,7,1:46.712,+ 3.864,+ 1.659,182.577,,
,8,Jüri Vips,Estonia,Hitech Grand Prix,9,,,,,,
