Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,1,Oscar Piastri,Australia,Prema Racing,24,32:53.331,,,188.828,1:21.710,17
2,3,Logan Sargeant,USA,Prema Racing,24,32:55.002,+ 1.671,+ 1.671,188.668,1:21.610,13
3,29,Alex Peroni,Australia,Campos Racing,24,32:56.348,+ 3.017,+ 1.346,188.540,1:21.602,19
4,2,Frederik Vesti,Denmark,Prema Racing,24,32:57.333,+ 4.002,+ 0.985,188.446,1:21.603,19
5,10,Lirim Zendeli,Germany,Trident,24,33:00.827,+ 7.496,+ 3.494,188.114,1:21.685,19
6,5,Liam Lawson,New Zealand,Hitech Grand Prix,24,33:04.149,+ 10.818,+ 3.322,187.799,1:21.907,10
7,11,David Beckmann,Germany,Trident,24,33:06.193,+ 12.862,+ 2.044,187.605,1:21.979,4
8,17,Richard Verschoor,Netherlands,MP Motorsport,24,33:07.131,+ 13.800,+ 0.938,187.517,1:21.906,4
9,8,Alexander Smolyar,Russia,ART Grand Prix,24,33:07.525,+ 14.194,+ 0.394,187.480,1:21.965,7
10,26,Clément Novalak,Great Britain,Carlin Buzz Racing,24,33:07.889,+ 14.558,+ 0.364,187.445,1:21.904,8
11,18,Bent Viscaal,Netherlands,MP Motorsport,24,33:08.808,+ 15.477,+ 0.919,187.359,1:21.926,8
12,4,Max Fewtrell,Great Britain,Hitech Grand Prix,24,33:15.729,+ 22.398,+ 6.921,186.709,1:21.909,11
13,7,Théo Pourchaire,France,ART Grand Prix,24,33:16.252,+ 22.921,+ 0.523,186.660,1:21.683,8
14,16,Jack Doohan,Australia,HWA Racelab,24,33:18.549,+ 25.218,+ 2.297,186.446,1:22.151,6
15,6,Dennis Hauger,Norway,Hitech Grand Prix,24,33:19.965,+ 26.634,+ 1.416,186.314,1:22.133,8
16,24,Igor Fraga,Brazil,Charouz Racing System,24,33:20.462,+ 27.131,+ 0.497,186.267,1:21.814,11
17,23,Roman Stanek,Czech Republic,Charouz Racing System,24,33:20.918,+ 27.587,+ 0.456,186.225,1:21.954,8
18,14,Enzo Fittipaldi,Brazil,HWA Racelab,24,33:21.205,+ 27.874,+ 0.287,186.198,1:22.148,15
19,21,Federico Malvestiti,Italy,Jenzer Motorsport,24,33:22.560,+ 29.229,+ 1.355,186.072,1:22.144,8
20,12,Olli Caldwell,,Trident,24,33:22.930,+ 29.599,+ 0.370,186.038,1:21.919,9
21,20,Calan Williams,Australia,Jenzer Motorsport,24,33:23.261,+ 29.930,+ 0.331,186.007,1:22.158,13
22,28,Cameron Das,USA,Carlin Buzz Racing,24,33:23.696,+ 30.365,+ 0.435,185.967,1:22.294,8
23,27,Enaam Ahmed,Great Britain,Carlin Buzz Racing,24,33:24.199,+ 30.868,+ 0.503,185.920,1:22.195,20
24,19,Lukas Dunner,Austria,MP Motorsport,24,33:24.454,+ 31.123,+ 0.255,185.896,1:21.995,10
25,25,David Schumacher,Germany,Charouz Racing System,24,33:28.535,+ 35.204,+ 4.081,185.519,1:22.227,10
26,31,Sophia Flörsch,Germany,Campos Racing,24,33:29.169,+ 35.838,+ 0.634,185.460,1:22.459,19
27,22,Matteo Nannini,Italy,Jenzer Motorsport,24,33:29.685,+ 36.354,+ 0.516,185.412,1:21.959,8
28,15,Jake Hughes,Great Britain,HWA Racelab,24,33:30.876,+ 37.545,+ 1.191,185.303,1:21.725,8
29,30,Alessio Deledda,Italy,Campos Racing,23,33:03.952,1 Lap,1 Lap,179.982,1:23.268,16
DNF,9,Sebastian Fernandez,Venezuela,ART Grand Prix,1,1:50.755,,,136.257,,
