Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,1,Oscar Piastri,Australia,Prema Racing,22,39:52.928,,,153.879,1:36.081,8
2,29,Alex Peroni,Australia,Campos Racing,22,39:54.104,+ 1.176,+ 1.176,153.803,1:36.161,18
3,22,Matteo Nannini,Italy,Jenzer Motorsport,22,39:54.956,+ 2.028,+ 0.852,153.749,1:36.328,8
4,17,Richard Verschoor,Netherlands,MP Motorsport,22,39:55.496,+ 2.568,+ 0.540,153.714,1:36.327,8
5,3,Logan Sargeant,USA,Prema Racing,22,39:55.930,+ 3.002,+ 0.434,153.686,1:36.452,9
6,7,Théo Pourchaire,France,ART Grand Prix,22,39:56.838,+ 3.910,+ 0.908,153.628,1:36.488,20
7,5,Liam Lawson,New Zealand,Hitech Grand Prix,22,39:57.751,+ 4.823,+ 0.913,153.569,1:36.558,11
8,14,Enzo Fittipaldi,Brazil,HWA Racelab,22,39:58.293,+ 5.365,+ 0.542,153.535,1:36.518,11
9,11,David Beckmann,Germany,Trident,22,39:58.806,+ 5.878,+ 0.513,153.502,1:36.444,20
10,15,Jake Hughes,Great Britain,HWA Racelab,22,39:59.541,+ 6.613,+ 0.735,153.455,1:36.408,20
11,26,Clément Novalak,Great Britain,Carlin Buzz Racing,22,40:00.144,+ 7.216,+ 0.603,153.416,1:36.531,20
12,8,Alexander Smolyar,Russia,ART Grand Prix,22,40:00.680,+ 7.752,+ 0.536,153.382,1:36.414,20
13,9,Sebastian Fernandez,Venezuela,ART Grand Prix,22,40:04.035,+ 11.107,+ 3.355,153.168,1:36.784,12
14,20,Calan Williams,Australia,Jenzer Motorsport,22,40:05.296,+ 12.368,+ 1.261,153.088,1:36.927,22
15,16,Jack Doohan,Australia,HWA Racelab,22,40:06.067,+ 13.139,+ 0.771,153.039,1:36.562,12
16,10,Lirim Zendeli,Germany,Trident,22,40:06.558,+ 13.630,+ 0.491,153.007,1:36.915,14
17,28,Cameron Das,USA,Carlin Buzz Racing,22,40:07.339,+ 14.411,+ 0.781,152.958,1:36.990,8
18,24,Igor Fraga,Brazil,Charouz Racing System,22,40:08.055,+ 15.127,+ 0.716,152.912,1:36.964,11
19,23,Roman Stanek,Czech Republic,Charouz Racing System,22,40:08.605,+ 15.677,+ 0.550,152.877,1:36.986,11
20,18,Bent Viscaal,Netherlands,MP Motorsport,22,40:09.037,+ 16.109,+ 0.432,152.850,1:36.602,21
21,2,Frederik Vesti,Denmark,Prema Racing,22,40:11.878,+ 18.950,+ 2.841,152.670,1:36.997,11
22,19,Lukas Dunner,Austria,MP Motorsport,22,40:13.767,+ 20.839,+ 1.889,152.550,1:36.999,11
23,31,Sophia Flörsch,Germany,Campos Racing,22,40:16.020,+ 23.092,+ 2.253,152.408,1:36.972,22
24,27,Leonardo Pulcini,Italy,Carlin Buzz Racing,22,40:26.036,+ 33.108,+ 10.016,151.779,1:37.601,8
25,25,David Schumacher,Germany,Charouz Racing System,22,41:17.833,+ 1:24.905,+ 51.797,148.606,1:36.129,10
26,6,Dennis Hauger,Norway,Hitech Grand Prix,19,40:59.299,3 Laps,3 Laps,129.284,1:35.706,5
DNF,21,Federico Malvestiti,Italy,Jenzer Motorsport,14,26:27.306,,,147.519,1:37.405,14
DNF,30,Alessio Deledda,Italy,Campos Racing,6,13:33.050,,,123.109,2:15.075,5
DNF,4,Max Fewtrell,Great Britain,Hitech Grand Prix,,,,,,,
DNF,12,Olli Caldwell,,Trident,,,,,,,
