Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,15,Jake Hughes,Great Britain,HWA Racelab,22,38:53.146,,,157.822,1:35.862,13
2,5,Liam Lawson,New Zealand,Hitech Grand Prix,22,38:55.534,+ 2.388,+ 2.388,157.660,1:35.942,17
3,3,Logan Sargeant,USA,Prema Racing,22,38:57.094,+ 3.948,+ 1.560,157.555,1:36.051,16
4,26,Clément Novalak,Great Britain,Carlin Buzz Racing,22,39:02.099,+ 8.953,+ 5.005,157.218,1:36.276,7
5,11,David Beckmann,Germany,Trident,22,39:02.972,+ 9.826,+ 0.873,157.160,1:36.360,15
6,1,Oscar Piastri,Australia,Prema Racing,22,39:03.368,+ 10.222,+ 0.396,157.133,1:36.323,7
7,7,Théo Pourchaire,France,ART Grand Prix,22,39:03.897,+ 10.751,+ 0.529,157.098,1:36.364,16
8,29,Alex Peroni,Australia,Campos Racing,22,39:05.318,+ 12.172,+ 1.421,157.003,1:36.438,8
9,17,Richard Verschoor,Netherlands,MP Motorsport,22,39:05.497,+ 12.351,+ 0.179,156.991,1:36.480,16
10,22,Matteo Nannini,Italy,Jenzer Motorsport,22,39:05.719,+ 12.573,+ 0.222,156.976,1:35.943,7
11,8,Alexander Smolyar,Russia,ART Grand Prix,22,39:07.978,+ 14.832,+ 2.259,156.825,1:36.446,8
12,10,Lirim Zendeli,Germany,Trident,22,39:08.412,+ 15.266,+ 0.434,156.796,1:36.608,8
13,14,Enzo Fittipaldi,Brazil,HWA Racelab,22,39:08.811,+ 15.665,+ 0.399,156.769,1:36.659,8
14,16,Jack Doohan,Australia,HWA Racelab,22,39:09.591,+ 16.445,+ 0.780,156.717,1:36.645,17
15,9,Sebastian Fernandez,Venezuela,ART Grand Prix,22,39:10.428,+ 17.282,+ 0.837,156.661,1:36.310,7
16,27,Leonardo Pulcini,Italy,Carlin Buzz Racing,22,39:11.038,+ 17.892,+ 0.610,156.621,1:36.618,17
17,4,Max Fewtrell,Great Britain,Hitech Grand Prix,22,39:12.071,+ 18.925,+ 1.033,156.552,1:36.805,17
18,6,Dennis Hauger,Norway,Hitech Grand Prix,22,39:13.312,+ 20.166,+ 1.241,156.469,1:36.510,8
19,28,Cameron Das,USA,Carlin Buzz Racing,22,39:14.709,+ 21.563,+ 1.397,156.377,1:36.624,8
20,12,Olli Caldwell,,Trident,22,39:15.635,+ 22.489,+ 0.926,156.315,1:36.926,16
21,19,Lukas Dunner,Austria,MP Motorsport,22,39:16.251,+ 23.105,+ 0.616,156.274,1:36.993,19
22,23,Roman Stanek,Czech Republic,Charouz Racing System,22,39:17.305,+ 24.159,+ 1.054,156.204,1:36.674,7
23,25,David Schumacher,Germany,Charouz Racing System,22,39:17.642,+ 24.496,+ 0.337,156.182,1:37.168,15
24,24,Igor Fraga,Brazil,Charouz Racing System,22,39:18.922,+ 25.776,+ 1.280,156.097,1:36.930,15
25,20,Calan Williams,Australia,Jenzer Motorsport,22,39:19.408,+ 26.262,+ 0.486,156.065,1:37.108,18
26,21,Federico Malvestiti,Italy,Jenzer Motorsport,22,39:25.349,+ 32.203,+ 5.941,155.673,1:37.505,15
27,31,Sophia Flörsch,Germany,Campos Racing,22,39:26.320,+ 33.174,+ 0.971,155.609,1:37.257,8
28,30,Alessio Deledda,Italy,Campos Racing,22,39:26.857,+ 33.711,+ 0.537,155.574,1:37.219,15
DNF,2,Frederik Vesti,Denmark,Prema Racing,8,14:39.813,,,151.862,1:36.654,8
DNF,18,Bent Viscaal,Netherlands,MP Motorsport,,,,,,,
