Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,7,Théo Pourchaire,France,ART Grand Prix,24,38:25.185,,,161.644,1:21.229,9
2,3,Logan Sargeant,USA,Prema Racing,24,38:25.649,+ 0.464,+ 0.464,161.612,1:21.277,10
3,11,David Beckmann,Germany,Trident,24,38:25.859,+ 0.674,+ 0.210,161.597,1:21.442,19
4,17,Richard Verschoor,Netherlands,MP Motorsport,24,38:26.287,+ 1.102,+ 0.428,161.567,1:21.312,20
5,1,Oscar Piastri,Australia,Prema Racing,24,38:26.990,+ 1.805,+ 0.703,161.518,1:20.968,20
6,12,Olli Caldwell,,Trident,24,38:27.061,+ 1.876,+ 0.071,161.513,1:21.192,20
7,4,Max Fewtrell,Great Britain,Hitech Grand Prix,24,38:27.382,+ 2.197,+ 0.321,161.491,1:21.083,20
8,2,Frederik Vesti,Denmark,Prema Racing,24,38:27.779,+ 2.594,+ 0.397,161.463,1:21.193,20
9,9,Sebastian Fernandez,Venezuela,ART Grand Prix,24,38:28.202,+ 3.017,+ 0.423,161.433,1:21.691,20
10,10,Lirim Zendeli,Germany,Trident,24,38:28.509,+ 3.324,+ 0.307,161.412,1:21.865,5
11,29,Alex Peroni,Australia,Campos Racing,24,38:28.847,+ 3.662,+ 0.338,161.388,1:21.539,4
12,6,Dennis Hauger,Norway,Hitech Grand Prix,24,38:29.153,+ 3.968,+ 0.306,161.367,1:21.715,4
13,14,Enzo Fittipaldi,Brazil,HWA Racelab,24,38:29.448,+ 4.263,+ 0.295,161.346,1:21.635,9
14,24,Igor Fraga,Brazil,Charouz Racing System,24,38:29.725,+ 4.540,+ 0.277,161.327,1:21.872,20
15,27,Enaam Ahmed,Great Britain,Carlin Buzz Racing,24,38:30.583,+ 5.398,+ 0.858,161.267,1:21.912,20
16,18,Bent Viscaal,Netherlands,MP Motorsport,24,38:30.971,+ 5.786,+ 0.388,161.240,1:22.020,6
17,25,David Schumacher,Germany,Charouz Racing System,24,38:31.597,+ 6.412,+ 0.626,161.196,1:21.855,10
18,23,Roman Stanek,Czech Republic,Charouz Racing System,24,38:31.777,+ 6.592,+ 0.180,161.184,1:22.397,20
19,19,Lukas Dunner,Austria,MP Motorsport,24,38:33.564,+ 8.379,+ 1.787,161.059,1:22.141,9
20,16,Jack Doohan,Australia,HWA Racelab,24,38:33.773,+ 8.588,+ 0.209,161.045,1:22.106,20
21,8,Alexander Smolyar,Russia,ART Grand Prix,24,38:34.109,+ 8.924,+ 0.336,161.021,1:21.956,9
22,30,Alessio Deledda,Italy,Campos Racing,24,38:34.921,+ 9.736,+ 0.812,160.965,1:22.292,20
23,21,Federico Malvestiti,Italy,Jenzer Motorsport,24,38:35.196,+ 10.011,+ 0.275,160.946,1:22.229,8
24,20,Calan Williams,Australia,Jenzer Motorsport,24,38:36.527,+ 11.342,+ 1.331,160.853,1:22.159,9
25,26,Clément Novalak,Great Britain,Carlin Buzz Racing,23,38:41.493,1 Lap,1 Lap,153.813,1:22.058,19
DNF,5,Liam Lawson,New Zealand,Hitech Grand Prix,20,30:49.606,,,167.842,1:21.255,9
DNF,15,Jake Hughes,Great Britain,HWA Racelab,20,30:50.131,,,167.794,1:21.463,9
DNF,28,Cameron Das,USA,Carlin Buzz Racing,19,29:40.176,,,165.656,1:22.407,8
DNF,31,Sophia Flörsch,Germany,Campos Racing,10,14:01.308,,,184.230,1:22.014,9
DNF,22,Matteo Nannini,Italy,Jenzer Motorsport,7,39:16.143,,,45.990,1:50.656,7
