Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,2,Frederik Vesti,Denmark,Prema Racing,21,34:42.873,,,190.445,1:37.691,3
2,15,Jake Hughes,Great Britain,HWA Racelab,21,34:43.197,+ 0.324,+ 0.324,190.415,1:37.321,3
3,7,Théo Pourchaire,France,ART Grand Prix,21,34:45.242,+ 2.369,+ 2.045,190.228,1:37.762,2
4,10,Lirim Zendeli,Germany,Trident,21,34:47.656,+ 4.783,+ 2.414,190.008,1:37.127,3
5,14,Enzo Fittipaldi,Brazil,HWA Racelab,21,34:50.688,+ 7.815,+ 3.032,189.733,1:37.907,4
6,3,Logan Sargeant,USA,Prema Racing,21,34:51.384,+ 8.511,+ 0.696,189.670,1:37.874,4
7,8,Alexander Smolyar,Russia,ART Grand Prix,21,34:53.413,+ 10.540,+ 2.029,189.486,1:37.813,4
8,11,David Beckmann,Germany,Trident,21,34:53.891,+ 11.018,+ 0.478,189.443,1:37.952,4
9,9,Sebastian Fernandez,Venezuela,ART Grand Prix,21,34:54.378,+ 11.505,+ 0.487,189.399,1:38.118,5
10,5,Liam Lawson,New Zealand,Hitech Grand Prix,21,34:55.369,+ 12.496,+ 0.991,189.309,1:38.517,4
11,1,Oscar Piastri,Australia,Prema Racing,21,34:56.356,+ 13.483,+ 0.987,189.220,1:38.474,12
12,17,Richard Verschoor,Netherlands,MP Motorsport,21,34:58.181,+ 15.308,+ 1.825,189.055,1:38.426,6
13,16,Jack Doohan,Australia,HWA Racelab,21,35:02.362,+ 19.489,+ 4.181,188.679,1:38.406,4
14,6,Dennis Hauger,Norway,Hitech Grand Prix,21,35:08.735,+ 25.862,+ 6.373,188.109,1:38.826,4
15,27,David Schumacher,Germany,Carlin Buzz Racing,21,35:09.184,+ 26.311,+ 0.449,188.069,1:38.961,16
16,22,Matteo Nannini,Italy,Jenzer Motorsport,21,35:09.707,+ 26.834,+ 0.523,188.022,1:38.885,4
17,12,Olli Caldwell,,Trident,21,35:09.773,+ 26.900,+ 0.066,188.017,1:39.157,14
18,21,Federico Malvestiti,Italy,Jenzer Motorsport,21,35:15.477,+ 32.604,+ 5.704,187.510,1:39.066,4
19,20,Calan Williams,Australia,Jenzer Motorsport,21,35:16.783,+ 33.910,+ 1.306,187.394,1:39.180,19
20,29,Alex Peroni,Australia,Campos Racing,21,35:18.342,+ 35.469,+ 1.559,187.256,1:38.924,4
21,19,Lukas Dunner,Austria,MP Motorsport,21,35:18.382,+ 35.509,+ 0.040,187.252,1:38.848,15
22,31,Sophia Flörsch,Germany,Campos Racing,21,35:22.461,+ 39.588,+ 4.079,186.893,1:39.623,6
23,28,Cameron Das,USA,Carlin Buzz Racing,21,35:23.666,+ 40.793,+ 1.205,186.786,1:39.641,8
24,26,Clément Novalak,Great Britain,Carlin Buzz Racing,21,35:30.940,+ 48.067,+ 7.274,186.149,1:39.669,7
25,30,Alessio Deledda,Italy,Campos Racing,21,35:32.951,+ 50.078,+ 2.011,185.973,1:40.031,6
26,23,Roman Stanek,Czech Republic,Charouz Racing System,20,33:39.511,1 Lap,1 Lap,187.070,1:39.484,8
27,25,Michael Belov,Russia,Charouz Racing System,20,35:06.426,1 Lap,+ 1:26.915,179.351,1:38.718,5
DNF,18,Bent Viscaal,Netherlands,MP Motorsport,3,5:14.474,,,180.610,1:40.897,2
