Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,3,Logan Sargeant,USA,Prema Racing,20,36:14.262,,,194.856,1:47.764,16
2,15,Jake Hughes,Great Britain,HWA Racelab,20,36:15.814,+ 1.552,+ 1.552,194.717,1:48.031,19
3,5,Liam Lawson,New Zealand,Hitech Grand Prix,20,36:16.287,+ 2.025,+ 0.473,194.675,1:47.665,15
4,2,Frederik Vesti,Denmark,Prema Racing,20,36:16.601,+ 2.339,+ 0.314,194.647,1:47.792,19
5,11,David Beckmann,Germany,Trident,20,36:19.132,+ 4.870,+ 2.531,194.421,1:47.922,19
6,7,Théo Pourchaire,France,ART Grand Prix,20,36:23.632,+ 9.370,+ 4.500,194.020,1:47.889,17
7,1,Oscar Piastri,Australia,Prema Racing,20,36:24.349,+ 10.087,+ 0.717,193.956,1:47.897,14
8,18,Bent Viscaal,Netherlands,MP Motorsport,20,36:24.967,+ 10.705,+ 0.618,193.902,1:48.092,17
9,10,Lirim Zendeli,Germany,Trident,20,36:25.797,+ 11.535,+ 0.830,193.828,1:48.218,19
10,27,Ben Barnicoat,Great Britain,Carlin Buzz Racing,20,36:26.334,+ 12.072,+ 0.537,193.780,1:48.163,19
11,28,Cameron Das,USA,Carlin Buzz Racing,20,36:28.546,+ 14.284,+ 2.212,193.584,1:48.314,18
12,26,Clément Novalak,Great Britain,Carlin Buzz Racing,20,36:30.344,+ 16.082,+ 1.798,193.426,1:48.222,16
13,8,Alexander Smolyar,Russia,ART Grand Prix,20,36:31.477,+ 17.215,+ 1.133,193.326,1:48.230,15
14,29,Alex Peroni,Australia,Campos Racing,20,36:31.977,+ 17.715,+ 0.500,193.281,1:47.887,16
15,25,David Schumacher,Germany,Charouz Racing System,20,36:34.737,+ 20.475,+ 2.760,193.038,1:48.025,16
16,4,Max Fewtrell,Great Britain,Hitech Grand Prix,20,36:35.630,+ 21.368,+ 0.893,192.960,1:48.188,16
17,14,Enzo Fittipaldi,Brazil,HWA Racelab,20,36:36.540,+ 22.278,+ 0.910,192.880,1:48.391,16
18,24,Igor Fraga,Brazil,Charouz Racing System,20,36:37.233,+ 22.971,+ 0.693,192.819,1:48.367,14
19,17,Richard Verschoor,Netherlands,MP Motorsport,20,36:37.703,+ 23.441,+ 0.470,192.778,1:48.395,15
20,31,Sophia Flörsch,Germany,Campos Racing,20,36:38.340,+ 24.078,+ 0.637,192.722,1:48.456,17
21,12,Olli Caldwell,,Trident,20,36:38.631,+ 24.369,+ 0.291,192.697,1:48.376,17
22,23,Roman Stanek,Czech Republic,Charouz Racing System,20,36:39.276,+ 25.014,+ 0.645,192.640,1:48.309,20
23,19,Lukas Dunner,Austria,MP Motorsport,20,36:45.516,+ 31.254,+ 6.240,192.095,1:48.686,17
24,9,Sebastian Fernandez,Venezuela,ART Grand Prix,20,36:47.491,+ 33.229,+ 1.975,191.923,1:47.724,16
25,30,Alessio Deledda,Italy,Campos Racing,20,36:54.028,+ 39.766,+ 6.537,191.356,1:48.947,14
26,16,Jack Doohan,Australia,HWA Racelab,20,37:46.800,+ 1:32.538,+ 52.772,186.902,1:48.430,18
27,22,Matteo Nannini,Italy,Jenzer Motorsport,18,32:53.133,2 Laps,2 Laps,193.222,1:48.602,16
DNF,20,Calan Williams,Australia,Jenzer Motorsport,5,9:43.647,,,180.855,1:51.458,3
DNF,21,Federico Malvestiti,Italy,Jenzer Motorsport,5,9:59.899,,,175.955,1:51.846,2
DNF,6,Dennis Hauger,Norway,Hitech Grand Prix,2,4:27.539,,,156.735,,
