0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Ocon,,86.24600000000001,83.639,82.51899999999999,82.54599999999998,88.56,644.855,81.039,80.149,79.68,78.98100000000001,78.643,78.56700000000002,78.814,81.866,78.88,78.36,84.469,78.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verstappen,,79.905,86.89299999999999,78.939,84.352,77.90899999999998,91.92,719.288,86.43799999999999,87.4,107.581,77.517,83.102,77.331,,1021.0160000000001,89.124,76.622,109.666,89.044,98.845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latifi,,99.724,81.83500000000002,95.979,79.986,95.224,78.97399999999999,96.48,917.8560000000001,78.611,100.601,78.208,111.632,77.73899999999999,,845.285,82.743,88.382,82.637,80.90100000000001,80.624,81.783,80.149,126.175,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso,,163.511,729.196,102.794,105.877,81.762,80.22800000000002,89.889,132.208,88.045,79.767,79.202,79.642,89.42200000000001,887.414,78.033,99.641,91.84200000000001,77.457,131.591,94.706,77.69,128.518,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vettel,,85.92200000000001,80.878,80.018,79.369,83.73200000000001,80.791,79.631,84.976,88.538,848.2289999999999,77.98400000000002,96.993,,825.39,81.926,83.29599999999998,81.035,81.145,81.18,80.937,80.945,107.13600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shumacher,,88.22,84.429,82.93799999999999,81.64699999999998,81.111,80.58800000000001,81.434,95.696,1316.974,82.12200000000001,103.257,79.84700000000002,101.696,79.738,105.913,79.48,126.788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainz,,85.98200000000001,81.003,89.89299999999999,78.764,96.9,78.15899999999998,77.682,99.91799999999999,156.921,650.909,84.75399999999999,80.262,82.90100000000001,88.285,77.824,77.29599999999998,,763.135,77.197,133.049,77.53,126.113,97.315,76.888,100.025,,,,,,,,,,,,,,,,,,,,,,,,
Perez,,86.67299999999999,80.825,97.73100000000001,79.205,96.236,79.118,91.521,96.546,905.069,79.495,99.381,78.22800000000002,99.808,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsunoda,,794.2710000000001,83.874,80.52,100.322,79.781,97.887,2032.305,80.306,100.522,109.617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroll,,80.628,79.874,79.368,92.4,83.01599999999998,81.325,81.855,79.431,85.444,78.493,90.24700000000001,,1597.803,77.48899999999999,110.252,332.574,82.52600000000001,126.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norris,,91.352,87.8,617.5409999999999,82.124,80.82,79.91199999999999,85.59899999999999,79.043,94.597,91.389,1269.635,77.935,106.719,82.79700000000001,454.48900000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raikkonen,,92.748,92.93700000000001,83.822,80.175,104.212,101.38799999999999,1151.108,78.453,114.974,78.725,115.321,,1279.155,77.883,109.816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasly,,87.87100000000001,90.72399999999999,79.42,89.819,78.42399999999999,99.296,77.743,91.0,77.47,91.691,,1449.056,77.539,103.081,99.368,77.02,100.662,76.888,98.04299999999999,115.222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leclerc,,93.89299999999999,733.324,89.43299999999998,,1820.95,77.97800000000002,117.225,76.90899999999998,118.42299999999999,98.029,76.79599999999998,106.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovinazzi,,90.22399999999999,105.236,82.656,91.847,80.258,94.716,79.733,96.186,133.654,927.2239999999999,78.437,109.802,78.05799999999998,,887.1519999999999,81.309,83.838,82.34200000000001,81.312,81.283,81.536,81.711,131.977,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell,,101.512,82.18299999999998,97.909,79.931,97.595,134.514,79.771,100.11,764.368,79.33500000000002,106.749,78.075,100.304,77.866,,858.053,82.03999999999998,81.88,80.762,82.363,81.069,81.15100000000001,81.46300000000001,111.515,,,,,,,,,,,,,,,,,,,,,,,,,
Bottas,,91.20100000000001,80.345,92.776,79.312,87.27,83.56200000000001,78.633,86.271,86.963,852.3789999999999,88.661,92.95100000000001,77.396,93.459,858.8739999999999,77.342,118.412,77.021,102.132,88.387,76.564,102.48200000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricciardo,,85.195,82.53299999999999,94.626,80.156,86.43700000000001,79.32900000000002,98.18799999999999,937.441,83.81200000000001,78.791,86.46000000000002,84.447,,812.3910000000001,77.84,96.29799999999999,77.76899999999999,94.941,89.723,77.852,90.433,114.595,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,,81.42099999999998,91.186,83.117,78.257,101.43799999999999,85.508,77.877,95.54,551.903,83.09299999999999,83.072,90.54299999999999,108.966,77.60300000000002,82.743,89.999,890.6339999999999,76.892,103.551,92.46799999999999,85.045,90.975,76.605,112.956,,,,,,,,,,,,,,,,,,,,,,,,,
