0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Tsunoda,,807.068,88.965,84.95200000000001,83.38,84.105,100.055,83.28999999999998,82.81299999999999,90.208,82.37700000000001,100.135,507.97900000000004,84.41799999999999,97.069,81.251,95.759,81.09,97.508,83.719,102.697,263.968,83.686,83.615,83.031,83.02199999999998,108.566,138.555,,,,,,,,,,,,,,,,,,,,,,
Shumacher,,86.633,84.69,84.447,84.306,84.67200000000001,98.60700000000001,84.57600000000001,85.58,84.505,118.371,737.498,83.04799999999999,82.861,113.90700000000001,81.939,97.15799999999999,96.415,86.037,95.339,543.643,86.64399999999999,86.166,90.89299999999999,85.56200000000001,84.93,84.963,105.322,161.799,,,,,,,,,,,,,,,,,,,,,
Stroll,,87.26299999999999,84.396,84.186,83.508,85.339,85.33200000000001,82.301,87.759,81.995,93.83,683.1469999999999,81.238,98.655,80.89399999999999,95.572,487.029,84.574,84.26299999999999,83.63799999999999,83.62700000000001,85.21799999999999,83.637,83.538,85.545,87.12200000000001,83.48,117.204,146.91299999999998,,,,,,,,,,,,,,,,,,,,,
Sainz,,87.625,84.611,83.12799999999999,82.256,90.479,82.66499999999998,95.295,160.07,902.9960000000001,83.314,82.243,81.686,86.912,80.87100000000001,80.759,105.32700000000001,548.9119999999999,81.066,94.514,82.14,92.23200000000001,80.68,127.163,86.235,96.023,137.315,,,,,,,,,,,,,,,,,,,,,,,
Ilott,,91.067,87.413,85.80799999999998,85.069,84.476,86.719,85.1,84.35,82.875,96.991,1210.711,83.238,102.748,82.316,99.153,82.899,97.21799999999999,725.301,81.806,105.502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasly,,88.493,84.119,83.20700000000001,82.53999999999998,91.07700000000001,82.581,106.33,540.891,85.96799999999999,81.97,81.74600000000001,81.529,87.63799999999999,94.73200000000001,81.664,96.596,387.175,80.862,96.523,80.444,90.785,80.55799999999998,93.292,343.44699999999995,85.324,84.785,84.31700000000002,83.64200000000001,109.341,123.66,,,,,,,,,,,,,,,,,,,
Raikkonen,,90.126,85.53399999999998,88.008,83.666,87.054,84.00399999999999,95.442,92.099,82.795,91.04700000000001,121.569,82.719,95.84,1154.013,81.58800000000001,103.47,81.381,99.76799999999999,96.171,572.768,86.63,81.666,114.86,121.022,,,,,,,,,,,,,,,,,,,,,,,,,
Norris,,92.42299999999999,84.45,101.069,85.42299999999999,83.39099999999998,105.272,83.086,97.069,898.51,83.16,85.992,541.351,83.163,85.48700000000001,125.27600000000001,81.06700000000002,93.03200000000001,87.76799999999999,81.16199999999999,99.083,80.782,89.993,80.635,111.806,131.536,,,,,,,,,,,,,,,,,,,,,,,,
Verstappen,,89.76899999999999,81.854,86.20100000000001,84.325,81.053,88.613,123.785,91.637,80.845,88.021,83.395,80.5,87.554,80.318,88.662,655.382,91.09899999999999,79.673,94.065,512.611,122.36399999999999,150.341,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vettel,,85.78299999999999,83.626,85.946,86.149,83.249,91.82600000000001,82.48,82.245,82.655,95.98899999999999,663.568,91.57700000000001,81.60600000000001,96.25,93.069,86.84200000000001,96.999,81.405,94.006,459.306,84.52199999999998,84.958,84.40799999999999,84.664,83.824,84.12700000000001,83.885,83.652,123.275,133.045,,,,,,,,,,,,,,,,,,,
