0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Vettel,,87.277,86.125,85.31200000000001,85.20100000000001,85.152,85.04700000000001,94.995,116.652,130.428,87.601,86.475,85.48700000000001,85.315,85.604,85.476,84.956,85.695,85.34899999999999,85.545,88.53,104.529,83.24700000000001,83.523,83.788,84.265,84.316,84.465,85.473,85.212,84.277,84.054,84.321,83.92,83.914,84.33500000000002,84.369,87.55799999999998,102.16,83.264,83.096,85.554,83.037,82.949,83.43799999999999,83.426,84.652,84.514,84.23700000000001,83.381,83.515,83.148,84.633,83.06200000000001,83.101,82.82,83.374,84.72,85.309,85.90700000000001,86.156,83.465,83.81299999999999,83.51,83.51899999999999,
Tsunoda,,87.714,86.76,86.189,84.825,85.148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,,83.79799999999999,83.425,82.93799999999999,83.118,83.06200000000001,83.26100000000001,89.25299999999999,131.611,138.416,83.60799999999999,83.41499999999998,83.038,83.18,83.309,83.25,83.46700000000001,83.318,83.40700000000001,83.559,83.167,83.32300000000002,83.57600000000001,84.51,83.28399999999998,83.664,83.10700000000001,87.03,100.943,81.27600000000001,81.20400000000002,81.40299999999998,81.509,81.512,81.468,81.726,81.605,82.036,82.039,81.77799999999998,81.697,85.686,99.613,80.775,80.72800000000002,80.73,81.348,81.27,81.155,80.994,81.225,82.67,81.304,80.66499999999998,80.78699999999999,80.99,80.906,80.931,81.521,82.205,81.107,81.63600000000001,81.705,81.708,81.985,82.044
Leclerc,,84.94800000000002,84.40299999999998,84.19800000000002,84.26899999999999,84.195,84.06200000000001,91.33200000000001,122.691,137.414,84.637,84.059,83.839,83.846,83.786,83.89,83.742,83.758,83.821,83.963,83.834,84.105,84.275,84.17,84.227,84.595,84.51899999999999,88.93299999999998,101.185,82.775,82.79899999999999,82.945,82.71000000000002,82.625,82.58200000000001,82.586,82.604,82.824,82.66,82.56,82.82600000000001,82.69800000000002,82.735,82.759,82.805,82.73700000000001,83.03999999999998,83.01599999999998,82.411,82.531,82.461,82.462,82.286,82.71700000000001,82.944,82.956,84.245,86.959,100.867,81.064,81.056,80.931,81.32600000000001,80.459,82.501,83.696
Stroll,,87.001,86.054,85.29299999999999,85.044,85.139,85.11200000000001,95.339,116.56200000000001,130.488,86.81,86.059,85.574,85.265,85.32600000000001,85.512,85.264,85.28200000000001,85.041,85.219,85.119,88.86399999999999,101.265,83.83200000000001,84.48400000000002,84.23,84.506,85.375,83.79799999999999,84.45299999999999,84.195,84.22800000000002,83.98899999999999,84.23400000000002,84.277,84.60600000000001,85.03399999999998,83.64200000000001,87.01299999999999,101.986,83.068,83.515,83.23899999999999,82.944,84.777,83.589,82.60700000000001,82.91499999999998,84.741,82.91,83.064,84.10900000000002,83.008,83.265,83.68799999999999,84.542,85.146,85.166,85.066,87.774,82.67,84.615,82.86399999999999,83.17699999999998,83.64299999999999,
Latifi,,88.361,87.194,86.338,86.27600000000001,86.574,86.037,100.465,114.725,119.384,87.806,87.48,86.425,86.59200000000001,85.714,85.44200000000002,85.419,85.56,85.34899999999999,85.49700000000001,85.557,85.596,85.292,85.385,85.19200000000002,85.04799999999999,89.626,102.425,84.28999999999998,84.05799999999998,83.973,84.008,83.514,83.82799999999999,84.411,84.24700000000001,83.855,84.337,84.104,83.93,83.9,85.62299999999999,84.26599999999998,83.906,84.061,85.92200000000001,87.14299999999999,84.916,86.946,88.65,103.08200000000001,83.12700000000001,82.977,83.28,83.515,83.14399999999999,82.905,83.194,84.99799999999999,83.041,82.988,83.038,82.96000000000002,82.94200000000002,88.85700000000001,
Gasly,,87.333,86.014,85.50299999999999,85.25,85.194,85.027,94.74700000000001,117.318,129.701,87.61,86.572,85.73,85.35,85.588,85.45,85.133,88.95400000000002,107.35700000000001,83.081,83.04599999999998,85.94200000000002,84.71799999999999,83.85300000000002,84.04299999999999,84.139,84.12,84.259,84.941,86.682,83.56700000000002,83.816,84.03,83.955,84.07900000000002,84.34100000000002,84.49799999999999,84.336,83.711,83.755,83.876,83.95200000000001,83.723,83.90299999999998,84.14,84.15100000000001,89.486,104.31,81.49600000000001,83.056,81.387,82.01899999999999,81.729,83.036,82.945,82.895,83.42200000000001,84.87799999999999,85.339,86.694,82.804,81.892,81.404,81.375,83.74600000000001,
Ocon,,85.631,85.236,84.85799999999999,84.449,84.906,84.617,93.985,117.57,135.246,86.30799999999998,85.262,85.014,84.95200000000001,84.906,84.95400000000002,84.62299999999999,84.88600000000001,84.729,85.167,85.22800000000002,85.145,88.11,103.206,84.12200000000001,84.926,83.98,84.08500000000002,83.955,84.226,83.87299999999999,84.213,84.32600000000001,84.20400000000002,84.27199999999998,84.119,83.999,83.82300000000002,83.745,83.45200000000001,83.48400000000002,83.46600000000002,83.64,83.47200000000002,83.35300000000002,83.311,83.79899999999999,83.611,83.583,83.79299999999999,84.691,85.589,85.088,84.758,86.76700000000001,86.15700000000001,84.52,84.479,85.084,84.941,86.208,86.775,85.23,86.76599999999998,86.59299999999999,
Verstappen,,83.561,83.25,83.209,83.206,83.227,83.09,85.48299999999999,134.88,139.89600000000002,83.251,83.29700000000001,83.009,83.155,83.152,83.515,83.26299999999999,83.289,83.31700000000002,83.36200000000001,83.46000000000002,83.51299999999999,83.729,88.038,101.545,81.411,82.17099999999998,82.258,82.446,82.62100000000001,82.714,82.456,82.131,81.533,81.571,81.487,81.872,81.727,82.084,81.99,81.717,82.118,81.632,81.88600000000001,81.98700000000001,82.473,82.589,83.039,82.92399999999999,82.34,82.51299999999999,82.35799999999999,82.16799999999999,82.529,82.664,82.92299999999999,82.554,82.411,82.54599999999998,88.44800000000002,101.338,78.149,80.21600000000002,79.619,80.146,80.875
Mazepin,,88.311,87.309,86.368,86.945,86.904,86.46000000000002,101.651,111.289,118.697,89.48299999999999,87.75399999999999,87.042,87.211,86.89099999999998,87.64699999999998,86.744,86.881,86.62700000000001,86.54799999999999,86.78200000000001,91.969,106.885,84.384,86.76100000000001,84.806,84.844,84.86200000000001,84.75399999999999,84.83,85.10700000000001,87.806,85.46600000000002,87.73,85.29899999999999,85.14699999999998,85.221,86.81200000000001,85.45700000000001,85.809,85.309,89.125,106.069,84.84200000000001,84.03999999999998,84.39200000000001,84.539,84.381,86.441,84.465,84.053,84.20400000000002,86.22800000000002,84.824,84.42,86.574,84.949,84.69800000000002,86.61,87.116,90.04700000000001,87.399,84.73899999999999,84.471,,
