0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
Ricciardo,,85.429,84.68,84.436,84.411,84.46799999999999,84.212,92.522,120.615,136.222,85.62100000000001,84.598,84.619,84.666,84.92299999999999,84.705,84.491,84.588,84.479,84.436,84.64299999999999,84.76899999999999,84.514,84.54700000000001,87.87,102.377,83.07300000000002,83.316,84.012,83.545,83.04700000000001,83.14,83.04899999999999,83.045,82.969,83.14200000000001,82.95299999999999,83.02600000000001,83.006,83.352,83.719,83.36399999999999,83.43299999999998,82.96600000000002,83.303,88.536,101.01799999999999,82.58,83.428,82.43700000000001,84.413,82.604,82.74600000000001,82.26700000000001,81.993,82.036,81.86,82.256,82.531,81.85300000000002,82.09100000000002,82.12299999999999,82.06700000000002,82.48899999999999,82.29799999999999,82.43799999999999
Norris,,86.5,85.74600000000001,84.945,84.95,85.13,84.85300000000002,94.755,117.441,131.688,87.14299999999999,85.919,85.244,85.485,85.07700000000001,85.05199999999998,85.59899999999999,85.179,84.615,84.485,84.792,84.78299999999999,87.125,103.909,84.37799999999999,84.395,84.43,84.12700000000001,84.30799999999998,84.37899999999999,84.43799999999999,84.053,84.08,84.12,84.27600000000001,84.93299999999998,83.575,83.26599999999998,83.22399999999999,83.176,83.26,83.15700000000001,83.17200000000001,83.27,83.381,83.416,83.589,83.44800000000002,85.779,84.764,86.88,101.83,82.34899999999999,83.303,83.941,81.279,82.08200000000001,81.70100000000001,81.788,83.14,82.26299999999999,83.656,85.197,82.98899999999999,83.09899999999999,
Alonso,,86.882,85.69800000000002,85.09700000000002,85.17699999999998,85.115,84.96600000000002,94.31,117.266,131.431,88.119,86.15799999999999,85.34,85.556,85.459,85.43799999999999,85.15700000000001,85.634,85.195,85.331,88.46600000000002,102.352,83.88600000000001,83.85799999999999,84.705,84.73299999999999,84.41799999999999,84.59100000000002,85.604,84.274,84.089,84.48400000000002,84.18700000000001,84.102,84.10600000000001,84.32900000000002,84.37700000000001,84.03200000000001,84.04599999999998,83.944,84.01100000000001,84.12,83.96799999999999,83.92299999999999,84.03999999999998,84.205,84.42299999999999,85.825,84.35,84.34200000000001,84.861,84.596,85.34700000000002,84.62899999999999,85.54299999999999,85.384,85.15,85.336,85.706,87.79700000000001,91.87299999999999,106.209,81.182,83.45200000000001,81.355,
Perez,,85.241,84.792,84.723,84.06700000000002,84.544,84.305,93.466,119.695,136.144,85.649,84.816,84.43700000000001,85.04599999999998,84.98899999999999,84.56299999999999,84.53,84.39399999999999,84.514,84.512,84.723,84.764,84.545,84.527,85.92399999999999,83.60799999999999,86.98400000000002,103.23100000000001,81.962,82.14099999999998,82.906,83.181,83.04299999999999,83.051,82.95100000000001,83.361,82.76799999999999,82.955,82.92,83.37100000000001,84.725,82.96700000000001,83.10300000000002,82.77,83.211,82.27199999999998,82.055,81.883,82.20400000000002,82.024,82.57900000000002,82.56700000000002,83.031,82.69,82.682,83.11,87.212,100.501,82.89099999999998,79.483,81.668,81.4,80.955,81.703,81.408,80.971
Shumacher,,88.135,86.736,86.209,87.21600000000002,86.03200000000001,86.324,100.855,112.822,121.225,87.945,88.065,86.49600000000001,86.65700000000001,87.82700000000001,86.352,85.773,87.943,86.15899999999998,85.97800000000002,86.07600000000001,86.3,89.741,106.559,84.244,84.435,84.419,84.37200000000001,83.98899999999999,83.959,84.029,84.569,83.962,84.26700000000001,84.238,84.381,87.523,85.48,86.294,84.97800000000002,84.258,84.398,86.01299999999999,84.384,84.09200000000001,84.223,86.973,84.72800000000002,84.56,88.28,103.198,82.97,82.75200000000001,82.637,82.649,82.646,83.56700000000002,86.684,86.42200000000001,83.102,83.825,83.54700000000001,85.695,83.58500000000002,,
Bottas,,85.251,84.12100000000001,84.19200000000002,84.78399999999998,83.80199999999998,83.896,92.075,122.21799999999999,136.909,85.07799999999999,84.10799999999999,83.988,83.881,84.035,83.898,83.73100000000001,83.736,83.699,83.84,83.837,84.15100000000001,87.743,100.129,81.993,82.445,82.40799999999999,82.16799999999999,82.572,82.456,82.39099999999998,82.26299999999999,82.22800000000002,82.37700000000001,81.407,81.789,81.527,81.946,82.346,81.635,82.838,82.694,82.68299999999998,82.038,82.338,82.55,82.25399999999999,82.045,82.245,82.9,82.72800000000002,85.16499999999998,87.70200000000001,100.105,80.09100000000002,82.012,80.242,81.333,82.241,83.9,83.695,81.331,80.619,80.632,79.43,81.252
Giovinazzi,,87.72399999999999,86.32799999999999,85.723,85.571,85.43700000000001,85.294,98.01899999999999,160.997,94.073,84.691,84.854,84.90799999999999,85.23899999999999,86.395,84.931,85.405,84.88799999999999,85.042,85.26899999999999,85.288,85.26100000000001,84.99600000000001,85.431,85.01299999999999,86.182,86.851,86.595,86.4,88.134,86.402,86.40799999999999,85.30199999999998,85.029,85.23400000000002,85.111,86.82,85.72,92.536,104.771,83.22,82.80199999999998,83.00399999999999,83.056,83.193,83.26599999999998,83.53200000000001,83.521,83.429,84.806,83.381,83.303,83.23700000000001,83.119,83.05,83.06,83.098,83.229,83.51100000000001,83.62299999999999,83.555,85.31,83.949,83.445,83.896,
Raikkonen,,87.611,86.17699999999998,85.58500000000002,85.363,85.42099999999998,85.434,95.413,116.45,128.60399999999998,87.58,86.762,85.986,85.50299999999999,85.589,85.541,85.463,85.485,85.17099999999998,85.447,85.12299999999999,84.94,84.76899999999999,84.991,84.725,84.788,84.791,84.39099999999998,86.309,86.038,85.928,85.18700000000001,84.913,84.949,86.779,85.867,90.354,104.27,83.91499999999998,83.444,83.17,85.493,82.964,83.00200000000001,83.194,83.53,84.8,84.87899999999999,83.56,83.28399999999998,83.57,82.935,83.11200000000001,82.868,83.146,82.947,83.395,84.92200000000001,85.413,87.936,83.66799999999999,83.465,83.102,83.057,83.61,
Sainz,,85.97,85.249,84.82799999999999,84.759,84.896,84.46000000000002,94.859,117.331,133.662,86.75299999999999,85.29599999999998,85.179,84.727,85.321,84.988,84.88799999999999,84.87200000000001,84.76799999999999,85.154,84.977,88.62,100.926,83.991,84.501,83.83500000000002,83.494,83.792,83.134,83.889,82.476,83.00399999999999,82.956,82.90100000000001,82.806,82.977,82.83200000000001,82.65100000000001,82.988,82.96700000000001,83.94800000000002,83.499,83.521,82.914,83.17299999999999,87.03299999999999,101.059,82.095,84.03399999999998,81.852,84.13600000000001,84.631,81.568,81.918,81.815,81.934,82.05199999999998,82.249,82.221,82.014,82.12,82.28999999999998,82.037,82.45400000000002,82.259,82.34700000000002
Russell,,88.774,87.083,86.223,86.348,86.15799999999999,86.10900000000002,98.318,114.735,122.194,87.634,86.44200000000002,86.057,85.749,85.52199999999998,85.845,85.212,85.455,85.44800000000002,85.712,85.679,85.04799999999999,85.104,85.086,84.691,84.705,85.994,87.78,101.012,83.208,83.65100000000001,83.631,83.61399999999999,83.986,84.412,84.06700000000002,84.495,84.515,84.01599999999998,83.91499999999998,83.882,83.649,83.78,83.89,85.39399999999999,84.241,83.949,84.15899999999998,83.70700000000001,83.995,84.18299999999998,85.238,84.48299999999999,84.48,85.57700000000001,84.78200000000001,85.045,85.435,88.62,87.411,86.176,84.867,85.23400000000002,86.77,85.794,
