0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
Giovinazzi,125.33200000000001,143.868,140.385,146.814,143.313,124.766,105.36200000000001,101.536,98.446,96.764,97.105,96.193,94.176,91.684,91.16799999999999,90.411,89.37799999999999,89.28299999999999,89.946,89.74600000000001,89.854,90.08200000000001,90.485,90.155,89.089,92.546,92.995,117.324,85.85900000000002,83.03299999999999,112.9,136.38,1591.25,170.35299999999998,89.24799999999999,83.368,82.181,81.999,81.562,86.12299999999999,103.56200000000001,80.675,80.293,80.392,80.615,80.44800000000002,80.186,80.282,79.69,79.763,79.934,79.706,79.756,79.707,79.694,82.056,79.47,79.76100000000001,79.574,79.54899999999999,79.765,79.483,
Latifi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottas,120.89200000000001,142.9,140.725,145.912,143.93,127.949,104.829,101.601,97.303,97.736,97.553,92.38600000000001,91.538,91.124,90.774,89.26,89.446,89.931,88.844,88.51100000000001,88.77799999999998,90.124,90.068,90.479,90.295,89.615,88.98400000000002,93.667,115.306,88.485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricciardo,112.84299999999999,142.588,140.636,144.931,144.261,134.861,103.179,99.234,95.671,93.429,93.1,91.484,90.824,90.648,90.275,89.075,91.383,88.57799999999999,88.82300000000002,88.221,88.726,89.264,89.40899999999998,89.316,90.023,91.584,94.113,120.052,85.815,83.86,98.289,117.501,122.779,1701.389,87.006,82.229,81.303,81.063,80.399,80.249,79.865,81.048,80.033,80.01100000000001,80.27199999999998,79.958,80.12899999999999,80.17,80.27600000000001,79.71300000000001,79.812,79.612,79.809,79.34100000000002,79.58,79.425,79.418,79.786,79.697,79.811,80.04899999999999,79.443,80.14699999999998
Ocon,125.387,155.352,137.933,142.503,143.52700000000002,123.615,103.57700000000001,101.365,99.646,96.693,95.556,96.04899999999999,98.88600000000001,94.603,90.935,89.68700000000001,89.12299999999999,88.971,88.708,92.243,89.913,91.931,91.50299999999999,90.854,89.646,89.30199999999998,93.76100000000001,113.45700000000001,87.488,85.40899999999998,114.569,144.671,1582.3,160.094,89.84700000000002,84.18299999999998,82.55199999999998,82.271,81.22200000000002,82.206,79.76599999999998,80.26,80.04899999999999,80.032,79.98,79.985,79.998,79.92099999999998,80.303,80.202,80.27799999999998,80.081,80.369,80.105,80.081,79.611,79.68,79.813,79.723,79.943,79.60600000000001,79.417,79.561
Shumacher,129.679,141.704,140.07999999999998,163.64600000000004,145.63299999999998,146.613,100.345,101.258,98.3,96.089,94.933,93.667,97.60600000000001,93.178,93.651,91.196,90.704,91.33,90.214,94.379,98.836,132.31,96.31299999999999,92.818,88.19800000000002,86.71700000000001,91.87899999999999,90.596,88.569,109.105,139.925,1624.753,145.957,90.13600000000001,84.26299999999999,83.719,83.89299999999999,81.789,81.53399999999998,82.61200000000001,81.006,80.49600000000001,80.82300000000002,80.874,82.309,80.402,80.314,79.882,80.277,80.498,80.702,80.26,80.306,79.553,80.025,79.735,79.875,79.193,79.88600000000001,79.991,82.102,,
Vettel,131.207,144.64700000000002,142.98,145.24200000000002,142.25,122.494,103.631,101.3,99.784,96.74,95.3,96.10600000000001,97.804,91.39200000000001,90.759,90.212,89.95299999999999,89.49700000000001,90.03399999999998,98.583,122.62700000000001,98.889,133.009,90.311,87.10600000000001,85.524,87.508,83.756,82.72200000000002,93.841,124.488,120.47,1558.5829999999999,150.825,89.896,84.29599999999998,82.65100000000001,82.463,80.964,82.39099999999998,81.28999999999998,80.702,80.505,80.964,81.21600000000002,80.669,82.09299999999999,81.986,80.593,80.47200000000002,80.527,81.47,80.389,79.94200000000002,79.615,79.81,79.622,79.17,79.074,79.095,87.605,,
Mazepin,133.405,146.056,138.071,142.477,143.33700000000002,124.816,107.421,103.599,101.90700000000001,100.809,101.711,105.258,124.70299999999999,98.39399999999999,97.178,94.541,95.92200000000001,92.09,97.635,92.301,91.792,96.466,98.945,129.184,90.235,88.12899999999999,86.363,85.943,86.31,140.44,112.03299999999999,1605.967,127.288,93.235,89.624,85.506,83.62700000000001,84.669,82.60799999999999,83.024,82.76299999999999,84.993,82.40700000000001,82.346,81.803,81.35600000000001,81.748,83.412,81.181,80.66499999999998,80.919,81.07300000000002,87.691,80.622,80.402,80.67399999999999,80.47399999999999,80.681,95.212,83.45200000000001,87.971,,
Alonso,130.127,143.276,139.97799999999998,145.54,142.849,124.15299999999999,104.943,101.792,99.432,99.713,95.079,95.295,98.046,95.044,91.98100000000001,90.33,89.97800000000002,90.802,88.275,89.09299999999999,91.414,90.01,91.219,91.39200000000001,89.98,89.486,91.553,96.599,115.85799999999999,86.822,114.573,121.804,1590.5379999999998,161.88299999999998,89.20100000000001,83.814,82.34200000000001,82.19,81.28999999999998,83.31700000000002,81.542,80.6,80.679,80.37,80.014,80.093,80.029,79.985,79.882,79.757,79.562,79.719,80.289,80.148,80.059,79.714,79.553,79.75,79.848,79.852,79.64699999999998,79.396,79.66
Verstappen,98.603,149.16299999999998,143.247,140.332,145.691,140.804,96.303,92.925,90.95299999999999,90.13,89.16799999999999,88.814,88.119,87.74,87.059,86.59700000000002,86.605,87.00200000000001,87.068,87.09700000000002,88.626,88.257,89.53200000000001,89.794,88.96700000000001,88.182,91.736,111.252,84.169,86.43299999999998,82.95400000000002,104.215,144.05100000000002,1772.74,83.743,81.006,80.35300000000002,79.726,79.57900000000002,78.935,78.786,78.68,78.529,78.40299999999998,78.28399999999998,78.01100000000001,78.161,78.087,78.17099999999998,78.57600000000001,78.158,77.96300000000001,77.937,77.76599999999998,77.803,77.90899999999998,78.396,78.032,77.993,77.524,78.26100000000001,77.52600000000001,77.97200000000002
