0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
Latifi,,94.849,136.02100000000002,93.70200000000001,124.535,368.306,93.4,115.649,523.816,134.638,99.002,101.781,122.81,99.694,99.345,98.85799999999999,99.686,99.404,99.2,99.869,99.331,99.575,100.309,100.254,100.571,100.028,100.285,122.535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocon,,94.04899999999999,149.09799999999998,132.688,815.3480000000001,91.601,150.29399999999998,145.85299999999998,92.45100000000001,127.59,520.585,97.41799999999999,97.735,98.45299999999999,99.34299999999999,99.537,99.837,99.853,99.719,99.986,100.116,100.1,100.226,110.82600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verstappen,,91.84200000000001,137.188,160.764,91.906,111.09200000000001,744.1210000000001,90.847,114.58200000000001,673.825,129.422,99.537,96.433,96.681,97.54799999999999,97.78299999999999,106.501,97.656,97.801,98.02,100.35799999999999,98.146,117.902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shumacher,,122.786,95.13600000000001,125.71799999999999,115.758,95.25299999999999,115.41799999999999,709.5269999999999,93.29700000000001,151.429,132.947,95.33200000000001,114.057,565.378,99.405,100.504,100.001,100.625,100.527,100.757,102.004,101.355,101.155,109.881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leclerc,,92.32700000000001,137.291,116.50299999999999,111.659,152.40200000000002,583.752,91.61200000000001,136.934,95.181,120.69200000000001,470.035,143.76,99.068,98.65799999999999,98.93799999999999,99.2,99.087,99.23200000000001,99.156,99.10799999999999,100.398,102.06200000000001,118.36200000000001,97.284,107.60600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vettel,,92.823,134.197,112.42399999999999,93.163,112.455,504.98400000000004,91.76899999999999,146.594,134.276,92.53200000000001,106.67200000000001,619.759,98.756,101.18799999999999,99.478,98.296,99.27,99.211,99.01299999999999,99.581,99.48,100.323,105.692,121.29,108.14299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perez,,92.094,147.333,138.79500000000002,91.969,117.81299999999999,700.628,91.50299999999999,121.361,713.215,142.666,96.973,97.561,102.324,97.898,98.08200000000001,98.212,98.046,103.007,98.01700000000001,98.241,98.264,118.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsunoda,,92.397,133.093,126.73,92.044,118.897,540.177,91.294,141.076,126.001,92.016,127.226,470.996,136.345,96.889,97.588,98.224,98.28,99.29799999999999,98.70299999999999,99.26100000000001,97.902,120.166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasly,,92.088,147.121,122.875,92.355,120.087,478.598,91.48299999999999,152.486,133.776,92.113,123.63799999999999,474.13699999999994,97.17,97.494,98.572,98.647,98.635,103.74,98.595,99.139,101.86,118.721,97.419,96.861,98.254,100.242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,,91.647,155.416,174.83900000000003,91.26100000000001,114.655,559.345,91.08200000000001,153.565,185.602,99.558,575.554,132.2,96.478,97.16799999999999,97.492,97.552,97.78299999999999,104.865,98.819,105.067,123.34700000000001,98.669,108.807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroll,,92.32700000000001,137.291,116.50299999999999,111.659,152.40200000000002,583.752,91.61200000000001,136.934,95.181,120.69200000000001,470.035,143.76,99.068,98.65799999999999,98.93799999999999,99.2,99.087,99.23200000000001,99.156,99.10799999999999,100.398,102.06200000000001,118.36200000000001,97.284,107.60600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainz,,92.05,163.233,92.711,125.301,157.375,521.6030000000001,91.12700000000001,124.79899999999999,551.641,143.67000000000004,97.634,97.839,97.949,100.963,119.956,98.70200000000001,98.98200000000001,98.373,98.43700000000001,98.598,98.38799999999999,98.337,98.555,98.65,114.493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricciardo,,93.215,138.434,92.998,128.261,93.079,114.20100000000001,843.8860000000001,91.23,132.168,642.875,144.877,99.811,98.26799999999999,98.19,98.618,98.53200000000001,98.45700000000001,98.195,101.26299999999999,98.958,104.51799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovinazzi,,92.495,133.708,92.449,130.482,93.039,115.083,144.69899999999998,419.31800000000004,91.74,133.859,92.27,111.56299999999999,616.861,98.788,99.212,98.708,99.225,99.005,99.435,98.956,99.21,99.514,99.66799999999999,99.51,99.913,109.848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norris,,131.838,93.587,139.805,119.155,93.3,133.94299999999998,95.59299999999999,535.942,90.942,140.849,98.921,705.365,132.961,98.278,97.976,98.29299999999999,98.713,98.709,98.86,99.694,98.458,98.416,99.814,103.238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso,,93.12,152.631,127.09299999999999,92.89299999999999,128.463,693.715,91.77,130.049,636.043,99.738,97.448,99.479,98.531,98.561,98.98,99.385,99.32799999999999,99.516,98.931,100.026,99.79899999999999,99.83,123.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raikkonen,,92.78,137.148,167.68599999999998,115.35799999999999,180.085,1931.004,91.86200000000001,154.71,108.068,160.291,93.10799999999999,107.355,155.84,102.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russell,,93.05,135.013,93.09200000000001,116.23700000000001,377.099,92.331,126.35,583.6519999999999,132.27,97.629,101.09200000000001,121.681,98.971,99.399,99.166,98.825,99.20700000000001,99.21799999999999,98.882,98.929,102.684,99.24,99.565,100.04299999999999,99.308,99.125,118.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottas,,119.805,106.016,164.99200000000002,91.50299999999999,132.35299999999998,737.6619999999999,91.21799999999999,138.261,194.226,96.86,423.82599999999996,148.144,97.765,97.505,99.627,98.617,98.03200000000001,98.584,99.76700000000001,106.176,99.613,108.765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
