0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
Russell,,96.545,124.79700000000001,95.694,115.455,690.211,94.127,129.244,171.778,94.67299999999999,113.375,628.717,137.55,100.057,100.477,99.781,100.501,100.395,99.677,99.727,99.698,122.661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bottas,,92.709,145.885,173.368,93.504,118.515,763.7180000000001,93.194,96.98,96.499,123.119,655.11,91.692,160.41899999999995,191.235,92.39200000000001,115.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gasly,,93.501,164.775,138.316,93.288,153.18200000000004,136.889,93.486,121.21799999999999,280.805,96.991,97.666,97.706,99.83,570.091,92.195,131.593,294.311,95.975,96.54299999999999,96.935,100.991,137.97799999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ocon,,96.284,97.014,97.209,107.17,481.29400000000004,96.817,98.075,107.573,555.219,96.72,98.59299999999999,98.153,113.49,799.6669999999999,93.528,149.879,145.931,93.962,117.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ricciardo,,94.212,131.716,94.523,130.037,121.777,94.722,112.74700000000001,98.48200000000001,1129.19,153.57999999999996,92.434,114.01100000000001,99.779,508.68300000000005,129.876,99.16,100.12,99.693,107.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perez,,93.18,126.48700000000001,138.947,92.766,118.085,1199.055,104.791,101.57,728.0169999999999,92.071,147.874,134.74200000000002,93.145,114.07700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Verstappen,,92.591,164.166,149.259,92.45299999999999,104.99700000000001,845.327,93.088,120.206,973.1139999999999,91.39399999999999,111.705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tsunoda,,676.455,94.3,140.303,133.173,120.041,93.863,137.262,134.716,93.4,117.191,594.149,109.183,137.548,93.329,124.833,354.43800000000005,96.931,98.49,100.22,123.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovinazzi,,1096.047,94.317,154.87,94.025,151.92700000000002,95.679,107.26899999999999,159.003,681.045,92.786,136.775,171.762,94.789,113.554,145.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroll,,704.797,93.98700000000001,179.02200000000002,152.78300000000004,94.567,193.372,169.29500000000004,94.581,104.229,580.106,93.23299999999999,115.34200000000001,469.027,98.43,99.82700000000001,101.35799999999999,101.50299999999999,101.24700000000001,110.645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raikkonen,,467.458,94.204,153.861,94.851,133.957,166.386,94.727,113.917,819.3860000000001,93.134,139.017,177.93400000000003,93.64,107.675,659.316,95.335,112.163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alonso,,97.354,110.184,96.758,115.429,553.24,97.524,106.904,97.876,105.90700000000001,600.0790000000001,93.87200000000001,154.56,94.463,122.82799999999999,1005.38,95.877,109.869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shumacher,,1078.887,96.046,152.372,96.23299999999999,150.66899999999998,96.647,135.909,96.661,118.506,886.012,94.501,157.54500000000004,149.469,95.493,150.523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sainz,,896.302,93.557,136.253,152.502,93.656,127.086,896.7589999999999,92.366,141.171,150.056,93.124,117.164,410.76,141.653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norris,,93.361,145.154,94.209,150.236,142.207,93.5,123.965,854.8789999999999,91.897,134.934,167.97,96.662,655.79,131.904,99.345,100.406,100.259,100.7,108.26899999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamilton,,92.844,155.14,199.64,92.214,113.041,831.7860000000002,93.493,110.129,945.4580000000001,91.921,172.547,184.46099999999998,92.32799999999999,101.76100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latifi,,96.979,128.245,96.28200000000001,112.9,1000.215,94.34,138.11700000000002,167.611,94.505,123.436,504.658,140.86,100.493,100.86399999999999,101.441,100.917,101.20100000000001,101.256,101.39,100.867,124.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vettel,,633.04,93.954,142.55700000000002,146.446,101.655,133.76,94.521,107.678,533.394,93.15700000000001,117.539,590.129,99.308,99.876,100.248,100.315,100.852,102.889,100.726,110.504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leclerc,,939.22,92.904,117.98700000000001,135.9,93.21799999999999,126.646,842.22,91.993,124.075,128.752,92.849,128.38299999999998,512.183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
