0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56
Perez,147.951,140.666,135.246,118.724,100.01,97.48,97.891,97.134,97.381,96.788,97.837,97.988,96.949,96.87,96.853,96.526,97.06200000000001,98.124,99.72,116.512,95.721,95.633,95.807,95.964,95.526,96.59200000000001,95.221,95.488,95.877,95.713,96.302,95.458,96.54700000000001,95.796,96.056,95.97,95.98700000000001,98.802,116.75,94.51799999999999,94.26299999999999,94.265,94.449,93.97,94.542,94.709,94.634,94.167,94.665,94.241,94.34,95.32,94.546,94.89200000000001,94.746,94.755
Alonso,130.373,139.776,150.63,112.31299999999999,100.85799999999999,97.652,97.366,98.006,99.06200000000001,97.758,100.308,116.12200000000001,96.844,97.14299999999999,97.447,97.183,97.79700000000001,96.984,97.506,99.07799999999999,100.09,97.759,98.377,97.604,97.596,98.758,97.447,97.791,100.10799999999999,117.522,96.06299999999999,102.31299999999999,,,,,,,,,,,,,,,,,,,,,,,,
Bottas,123.772,141.47799999999998,154.19899999999998,108.046,103.651,97.109,96.355,96.022,97.086,96.405,96.384,96.46,96.42299999999999,96.736,96.583,99.534,114.719,95.038,94.51799999999999,94.774,95.098,95.07700000000001,95.09200000000001,95.193,95.022,95.308,95.469,95.376,95.915,98.028,123.818,95.12,94.45700000000001,94.472,94.4,94.461,94.399,94.41799999999999,95.198,94.729,94.776,94.79799999999999,94.466,94.303,95.15799999999999,94.379,94.272,94.21700000000001,94.212,94.309,94.488,95.125,94.64399999999999,97.802,115.899,92.09
Tsunoda,142.502,138.52,142.096,120.40299999999999,100.554,98.21799999999999,97.329,97.491,97.90700000000001,97.738,97.59299999999999,97.947,97.882,97.92299999999999,100.58,117.127,96.147,96.149,95.979,98.319,97.21,96.558,97.306,96.154,96.824,96.195,96.65700000000001,96.87,96.844,96.705,96.663,96.654,99.38799999999999,115.773,95.488,95.977,94.91799999999999,94.76100000000001,95.641,95.691,95.645,95.551,95.23,95.296,95.162,95.254,94.974,95.179,95.544,95.10799999999999,95.71700000000001,96.12200000000001,97.135,97.354,96.882,96.755
Ocon,139.866,138.821,143.946,117.137,100.334,97.855,97.991,98.234,97.866,98.818,97.945,98.20100000000001,100.50299999999999,117.222,96.659,97.03,97.242,97.095,96.67399999999999,98.40799999999999,98.677,97.317,97.36200000000001,97.42200000000001,96.904,97.316,97.104,97.206,97.43,97.40799999999999,99.26799999999999,116.314,95.25,95.975,95.848,95.721,95.708,96.272,96.308,96.245,96.045,96.179,95.53,107.176,96.502,96.784,96.73899999999999,96.13,96.359,96.171,96.055,96.302,96.381,96.39399999999999,96.346,
Gasly,124.697,142.263,152.61,126.772,131.534,96.677,96.954,97.42399999999999,97.03,97.375,97.51700000000001,98.054,97.874,98.302,98.001,97.993,98.415,99.272,100.838,119.29,96.48299999999999,96.475,96.421,96.51899999999999,96.472,96.89,96.39399999999999,96.512,96.21700000000001,96.061,96.185,96.45200000000001,96.35700000000001,96.689,98.745,96.891,96.736,96.928,99.587,116.887,94.56,94.349,94.303,94.978,94.692,94.23,94.243,94.09,94.281,94.346,94.95,98.051,,,,
Giovinazzi,138.362,138.879,145.126,113.76100000000001,102.15,97.852,97.993,97.972,98.008,97.846,97.765,100.89200000000001,125.351,97.462,96.79,97.458,97.20100000000001,97.139,97.005,97.279,97.387,97.442,96.936,97.236,96.899,96.91799999999999,97.21,96.94,96.98700000000001,99.49,116.373,95.12200000000001,96.93700000000001,96.088,96.11,95.713,95.95200000000001,96.306,96.42399999999999,96.515,96.26100000000001,96.206,95.971,96.787,95.868,95.68,95.74700000000001,95.338,95.29799999999999,95.367,96.135,99.448,96.225,95.9,95.788,
Raikkonen,136.372,139.993,145.649,116.558,100.574,97.831,98.014,98.015,97.993,97.62200000000001,98.086,97.78299999999999,99.71,117.03299999999999,96.336,97.309,97.169,97.151,97.121,96.92299999999999,97.665,97.571,96.985,96.897,97.01899999999999,96.852,96.495,96.531,99.035,116.634,96.45200000000001,96.941,96.786,96.014,96.791,96.11,95.84200000000001,96.645,96.572,96.88799999999999,96.564,96.38,95.815,96.321,95.192,96.071,95.57700000000001,95.368,95.56200000000001,95.338,95.686,95.654,95.905,95.414,95.98700000000001,95.96
Ricciardo,128.545,140.642,151.04500000000004,111.43799999999999,101.47,97.571,97.205,97.639,97.85799999999999,97.78200000000001,97.314,98.454,100.195,117.427,96.081,96.79,96.542,97.42399999999999,96.383,96.62200000000001,96.664,96.682,96.494,96.307,96.675,96.505,96.334,96.53,96.59299999999999,96.811,97.068,99.803,116.039,95.633,95.429,94.932,95.199,95.20100000000001,95.469,95.596,95.175,95.222,95.01100000000001,96.591,95.62799999999999,95.435,95.29799999999999,95.12799999999999,95.556,96.458,95.616,95.76799999999999,95.38799999999999,95.773,95.64,95.823
Verstappen,118.245,142.406,158.001,104.34299999999999,104.629,95.98200000000001,95.902,96.03200000000001,96.012,96.175,96.179,96.59200000000001,96.291,96.88,96.92399999999999,97.03299999999999,99.153,115.53200000000001,94.421,94.87,94.829,95.159,95.12200000000001,95.20700000000001,95.044,94.958,95.118,95.126,95.28200000000001,95.476,95.054,95.37799999999999,95.286,95.63799999999999,95.59299999999999,95.721,95.62,95.921,97.82799999999999,113.43700000000001,93.228,93.45,93.23100000000001,93.594,94.056,93.89399999999999,94.09200000000001,93.818,93.57600000000001,93.89299999999999,93.964,94.669,96.413,95.073,94.565,94.727
