Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,2,Oscar Piastri,Australia,Prema Racing,23,46:19.610,,,160.895,1:46.202,19
2,9,Christian Lundgaard,Denmark,ART Grand Prix,23,46:20.384,+ 0.774,+ 0.774,160.851,1:46.529,19
3,3,Guanyu Zhou,China,UNI-Virtuosi,23,46:21.686,+ 2.076,+ 1.302,160.775,1:47.371,18
4,6,Jehan Daruvala,India,Carlin,23,46:22.104,+ 2.494,+ 0.418,160.751,1:46.655,22
5,11,Richard Verschoor,Netherlands,MP Motorsport,23,46:22.576,+ 2.966,+ 0.472,160.724,1:46.432,22
6,10,Théo Pourchaire,France,ART Grand Prix,23,46:23.369,+ 3.759,+ 0.793,160.678,1:46.963,22
7,14,David Beckmann,Germany,Charouz Racing System,23,46:25.997,+ 6.387,+ 2.628,160.527,1:47.131,22
8,25,Marino Sato,Japan,Trident,23,46:27.706,+ 8.096,+ 1.709,160.428,1:47.818,18
9,22,Matteo Nannini,Italy,HWA Racelab,23,46:29.343,+ 9.733,+ 1.637,160.334,1:47.272,23
10,17,Marcus Armstrong,New Zealand,DAMS,23,46:31.790,+ 12.180,+ 2.447,160.193,1:48.158,7
11,15,Guilherme Samaia,Brazil,Charouz Racing System,23,46:32.052,+ 12.442,+ 0.262,160.178,1:47.465,18
12,24,Bent Viscaal,Netherlands,Trident,23,46:36.354,+ 16.744,+ 4.302,159.932,1:48.827,7
13,20,Gianluca Petecof,Brazil,Campos Racing,23,46:37.179,+ 17.569,+ 0.825,159.885,1:47.185,18
14,4,Felipe Drugovich,Brazil,UNI-Virtuosi,23,46:44.157,+ 24.547,+ 6.978,159.487,1:48.604,9
15,16,Roy Nissany,Israel,DAMS,23,46:47.081,+ 27.471,+ 2.924,159.321,1:48.804,12
16,8,Jüri Vips,Estonia,Hitech Grand Prix,23,46:56.590,+ 36.980,+ 9.509,158.783,1:46.287,19
17,21,Ralph Boschung,Switzerland,Campos Racing,23,47:08.076,+ 48.466,+ 11.486,158.138,1:45.507,21
DNF,23,Alessio Deledda,Italy,HWA Racelab,19,38:58.759,,,157.902,1:47.962,18
DNF,7,Liam Lawson,New Zealand,Hitech Grand Prix,14,27:26.888,,,165.086,1:48.496,9
DNF,12,Lirim Zendeli,Germany,MP Motorsport,12,26:12.441,,,148.121,1:47.720,9
DNF,5,Daniel Ticktum,Great Britain,Carlin,,,,,,,
DNF,1,Robert Shwartzman,Russia,Prema Racing,,,,,,,
