Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,44,Lewis Hamilton,Great Britain,Mercedes-AMG Petronas Formula One Team,56,1:32:03.897,,,197.355,1:34.015,44
2,33,Max Verstappen,Netherlands,Red Bull Racing,56,1:32:04.642,+ 0.745,+ 0.745,197.329,1:33.228,41
3,77,Valtteri Bottas,Finland,Mercedes-AMG Petronas Formula One Team,56,1:32:41.280,+ 37.383,+ 36.638,196.029,1:32.090,56
4,4,Lando Norris,Great Britain,McLaren F1 Team,56,1:32:50.363,+ 46.466,+ 9.083,195.709,1:34.396,38
5,11,Sergio Pérez,Mexico,Red Bull Racing,56,1:32:55.944,+ 52.047,+ 5.581,195.513,1:33.970,44
6,16,Charles Leclerc,Monaco,Scuderia Ferrari Mission Winnow,56,1:33:02.987,+ 59.090,+ 7.043,195.267,1:34.988,39
7,3,Daniel Ricciardo,Australia,McLaren F1 Team,56,1:33:09.901,+ 1:06.004,+ 6.914,195.025,1:34.932,36
8,55,Carlos Sainz,Spain,Scuderia Ferrari Mission Winnow,56,1:33:10.997,+ 1:07.100,+ 1.096,194.987,1:34.509,48
9,22,Yuki Tsunoda,Japan,Scuderia AlphaTauri Honda,56,1:33:29.589,+ 1:25.692,+ 18.592,194.341,1:34.761,38
10,18,Lance Stroll,Canada,Aston Martin Cognizant Formula One Team,56,1:33:30.610,+ 1:26.713,+ 1.021,194.305,1:34.865,31
11,7,Kimi Räikkönen,Finland,Alfa Romeo Racing ORLEN,56,1:33:32.761,+ 1:28.864,+ 2.151,194.231,1:35.192,45
12,99,Antonio Giovinazzi,Italy,Alfa Romeo Racing ORLEN,55,1:32:09.295,1 Lap,1 Lap,193.639,1:35.122,32
13,31,Esteban Ocon,France,Alpine F1 Team,55,1:32:19.995,1 Lap,+ 10.700,193.265,1:35.250,33
14,63,George Russell,Great Britain,Williams Racing,55,1:32:21.854,1 Lap,+ 1.859,193.200,1:35.036,40
15,5,Sebastian Vettel,Germany,Aston Martin Cognizant Formula One Team,55,1:32:42.439,1 Lap,+ 20.585,192.485,1:35.566,26
16,47,Mick Schumacher,Germany,Uralkali Haas F1 Team,55,1:33:20.704,1 Lap,+ 38.265,191.170,1:36.134,38
17,10,Pierre Gasly,France,Scuderia AlphaTauri Honda,52,1:27:41.866,4 Laps,3 Laps,192.372,1:34.090,48
18,6,Nicholas Latifi,Canada,Williams Racing,51,1:27:10.489,5 Laps,1 Lap,189.802,1:36.602,16
DNF,14,Fernando Alonso,Spain,Alpine F1 Team,32,55:21.634,,,187.430,1:36.063,31
DNF,9,Nikita Mazepin,Russia,Uralkali Haas F1 Team,,,,,,,
