Pos,No,Driver,Nat,Team,Laps,Time,Gap,Interval,Kph,Best,Lap
1,33,Max Verstappen,Netherlands,Red Bull Racing,23,1:30.847,,,214.461,,
2,4,Lando Norris,Great Britain,McLaren F1 Team,25,1:30.942,+ 0.095,+ 0.095,214.237,,
3,44,Lewis Hamilton,Great Britain,Mercedes-AMG Petronas Formula One Team,24,1:31.082,+ 0.235,+ 0.140,213.908,,
4,55,Carlos Sainz,Spain,Scuderia Ferrari Mission Winnow,26,1:31.127,+ 0.280,+ 0.045,213.802,,
5,77,Valtteri Bottas,Finland,Mercedes-AMG Petronas Formula One Team,23,1:31.218,+ 0.371,+ 0.091,213.589,,
6,3,Daniel Ricciardo,Australia,McLaren F1 Team,22,1:31.230,+ 0.383,+ 0.012,213.561,,
7,22,Yuki Tsunoda,Japan,Scuderia AlphaTauri Honda,23,1:31.294,+ 0.447,+ 0.064,213.411,,
8,18,Lance Stroll,Canada,Aston Martin Cognizant Formula One Team,24,1:31.393,+ 0.546,+ 0.099,213.180,,
9,10,Pierre Gasly,France,Scuderia AlphaTauri Honda,27,1:31.483,+ 0.636,+ 0.090,212.970,,
10,11,Sergio Pérez,Mexico,Red Bull Racing,23,1:31.503,+ 0.656,+ 0.020,212.924,,
11,31,Esteban Ocon,France,Alpine F1 Team,24,1:31.601,+ 0.754,+ 0.098,212.696,,
12,16,Charles Leclerc,Monaco,Scuderia Ferrari Mission Winnow,26,1:31.612,+ 0.765,+ 0.011,212.670,,
13,99,Antonio Giovinazzi,Italy,Alfa Romeo Racing ORLEN,27,1:31.740,+ 0.893,+ 0.128,212.374,,
14,5,Sebastian Vettel,Germany,Aston Martin Cognizant Formula One Team,26,1:31.769,+ 0.922,+ 0.029,212.306,,
15,14,Fernando Alonso,Spain,Alpine F1 Team,24,1:31.770,+ 0.923,+ 0.001,212.304,,
16,7,Kimi Räikkönen,Finland,Alfa Romeo Racing ORLEN,15,1:31.862,+ 1.015,+ 0.092,212.092,,
17,63,George Russell,Great Britain,Williams Racing,28,1:32.331,+ 1.484,+ 0.469,211.014,,
18,47,Mick Schumacher,Germany,Uralkali Haas F1 Team,24,1:33.297,+ 2.450,+ 0.966,208.829,,
19,6,Nicholas Latifi,Canada,Williams Racing,28,1:33.400,+ 2.553,+ 0.103,208.599,,
20,9,Nikita Mazepin,Russia,Uralkali Haas F1 Team,19,1:33.449,+ 2.602,+ 0.049,208.490,,
